seed,held_out_region,method,support_size,r2,rmse,n_query
0,Southern Seaboard,ridge,0,-0.12362154464996777,33.05293211578006,2617
0,Southern Seaboard,mlp,0,-0.3045208902835246,35.61438767240586,2617
0,Southern Seaboard,ridge_support_only,8,-2.4713964389533145,58.09678095435272,2617
0,Southern Seaboard,ridge_refit,8,-0.12547418204333893,33.08016988005711,2617
0,Southern Seaboard,mlp_finetune,8,-0.6373315542162945,39.89957580410657,2617
0,Southern Seaboard,ccpa_no_climate,8,-0.6913984145387013,40.55299389717111,2617
0,Southern Seaboard,ccpa,8,-0.6154500827071798,39.63206797848013,2617
0,Southern Seaboard,ridge_support_only,16,-1.0939423863148914,45.12137512370734,2617
0,Southern Seaboard,ridge_refit,16,-0.12429128904087339,33.06278139209355,2617
0,Southern Seaboard,mlp_finetune,16,-0.43916842543692947,37.407249285284614,2617
0,Southern Seaboard,ccpa_no_climate,16,-0.5935114122866889,39.36203577939922,2617
0,Southern Seaboard,ccpa,16,-0.4916395349846181,38.08306600809332,2617
0,Southern Seaboard,ridge_support_only,32,-0.28767470263099293,35.38368373439215,2617
0,Southern Seaboard,ridge_refit,32,-0.11708962404561007,32.95671919830574,2617
0,Southern Seaboard,mlp_finetune,32,-0.29229425636507167,35.44709667920055,2617
0,Southern Seaboard,ccpa_no_climate,32,-0.5230567870986769,38.482033281303494,2617
0,Southern Seaboard,ccpa,32,-0.44301846102198894,37.457251441943775,2617
0,Southern Seaboard,ridge_support_only,64,-0.14617738296856175,33.383039778486236,2617
0,Southern Seaboard,ridge_refit,64,-0.11013633497502195,32.85399006150975,2617
0,Southern Seaboard,mlp_finetune,64,-0.2479552859272629,34.83368940832503,2617
0,Southern Seaboard,ccpa_no_climate,64,-0.6097103704686815,39.56159873755785,2617
0,Southern Seaboard,ccpa,64,-0.41162579019951506,37.047572350538985,2617
0,Northern Crescent,ridge,0,0.21167834483825354,23.48779805133947,2490
0,Northern Crescent,mlp,0,0.20295294673512776,23.617425607214535,2490
0,Northern Crescent,ridge_support_only,8,-0.42925778154574257,31.626115923929646,2490
0,Northern Crescent,ridge_refit,8,0.219596719823418,23.369537574523005,2490
0,Northern Crescent,mlp_finetune,8,0.0465120869668626,25.831413518443963,2490
0,Northern Crescent,ccpa_no_climate,8,0.1883451937987518,23.832865283253142,2490
0,Northern Crescent,ccpa,8,0.11239500431696725,24.923007302738757,2490
0,Northern Crescent,ridge_support_only,16,-0.25521558564719937,29.638057574224714,2490
0,Northern Crescent,ridge_refit,16,0.22733219214480738,23.253427983926347,2490
0,Northern Crescent,mlp_finetune,16,-0.011229936705972943,26.60207630409131,2490
0,Northern Crescent,ccpa_no_climate,16,0.20892287523780428,23.528811422487266,2490
0,Northern Crescent,ccpa,16,-0.01731831400128714,26.682038544457463,2490
0,Northern Crescent,ridge_support_only,32,0.03178768696873091,26.03010239372653,2490
0,Northern Crescent,ridge_refit,32,0.23019913124321612,23.210247644065664,2490
0,Northern Crescent,mlp_finetune,32,0.12090851194179908,24.803194177770155,2490
0,Northern Crescent,ccpa_no_climate,32,0.18353106043937184,23.903440214568096,2490
0,Northern Crescent,ccpa,32,0.1592987313626537,24.255566776363192,2490
0,Northern Crescent,ridge_support_only,64,0.17623483669797368,24.01000700276788,2490
0,Northern Crescent,ridge_refit,64,0.24181332103999797,23.034492629144214,2490
0,Northern Crescent,mlp_finetune,64,0.09964247226097311,25.101407593471496,2490
0,Northern Crescent,ccpa_no_climate,64,0.15718072629774327,24.286101461650176,2490
0,Northern Crescent,ccpa,64,0.1874938084700598,23.845361749379002,2490
0,Heartland,ridge,0,-0.07448121839811628,30.606810364239553,1413
0,Heartland,mlp,0,0.345801654984086,23.88214764841042,1413
0,Heartland,ridge_support_only,8,0.24735648581849046,25.61611829681318,1413
0,Heartland,ridge_refit,8,-0.07168118432428883,30.566904586615717,1413
0,Heartland,mlp_finetune,8,0.3897178314527803,23.066622002563403,1413
0,Heartland,ccpa_no_climate,8,-0.09093717352970532,30.840295361437406,1413
0,Heartland,ccpa,8,0.32315917472464073,24.291925000139162,1413
0,Heartland,ridge_support_only,16,0.3242370684038577,24.272574405041336,1413
0,Heartland,ridge_refit,16,-0.07066177939312657,30.55236319722339,1413
0,Heartland,mlp_finetune,16,0.385961954863563,23.137492907030587,1413
0,Heartland,ccpa_no_climate,16,-0.09651547987781983,30.91904291016945,1413
0,Heartland,ccpa,16,0.35852233915400666,23.648817339857732,1413
0,Heartland,ridge_support_only,32,0.3273386955305787,24.216807022750494,1413
0,Heartland,ridge_refit,32,-0.06308916537079257,30.444125560198078,1413
0,Heartland,mlp_finetune,32,0.38512736707614736,23.153211568187263,1413
0,Heartland,ccpa_no_climate,32,0.004262636307197698,29.463956203992712,1413
0,Heartland,ccpa,32,0.384597286449491,23.16318958983913,1413
0,Heartland,ridge_support_only,64,0.41697337327393946,22.545654797131473,1413
0,Heartland,ridge_refit,64,-0.056519895332525216,30.349916339164686,1413
0,Heartland,mlp_finetune,64,0.3748249104850201,23.346376818695635,1413
0,Heartland,ccpa_no_climate,64,0.005863598955345939,29.44026036271028,1413
0,Heartland,ccpa,64,0.3578005458013318,23.662118473483094,1413
0,Northern Great Plains,ridge,0,-0.5068344285780828,54.65705131632177,1362
0,Northern Great Plains,mlp,0,-0.34204186498833944,51.58179640809619,1362
0,Northern Great Plains,ridge_support_only,8,-1.0769857488885237,64.16972666318813,1362
0,Northern Great Plains,ridge_refit,8,-0.4799600302809821,54.16745413447438,1362
0,Northern Great Plains,mlp_finetune,8,0.09559582619635743,42.34427583350566,1362
0,Northern Great Plains,ccpa_no_climate,8,-0.06619325012301602,45.97602236912792,1362
0,Northern Great Plains,ccpa,8,0.12948120857536072,41.543444866265155,1362
0,Northern Great Plains,ridge_support_only,16,-0.6604915785724892,57.376198413346486,1362
0,Northern Great Plains,ridge_refit,16,-0.4751138244242208,54.07869434415525,1362
0,Northern Great Plains,mlp_finetune,16,0.07467455791099498,42.83124344931023,1362
0,Northern Great Plains,ccpa_no_climate,16,-0.1631213482950571,48.020418931707916,1362
0,Northern Great Plains,ccpa,16,0.07019312443814207,42.93483593596762,1362
0,Northern Great Plains,ridge_support_only,32,0.13730621810084087,41.35630836775146,1362
0,Northern Great Plains,ridge_refit,32,-0.43693764616145225,53.374324604063105,1362
0,Northern Great Plains,mlp_finetune,32,0.1908327539593182,40.05277200411452,1362
0,Northern Great Plains,ccpa_no_climate,32,-0.20274812252595087,48.83157980659353,1362
0,Northern Great Plains,ccpa,32,0.054974678283036926,43.28477394828872,1362
0,Northern Great Plains,ridge_support_only,64,0.08945502659399918,42.48778900072077,1362
0,Northern Great Plains,ridge_refit,64,-0.35250871854093346,51.78255411651176,1362
0,Northern Great Plains,mlp_finetune,64,0.1902796847782583,40.06645778414008,1362
0,Northern Great Plains,ccpa_no_climate,64,-0.10033103346500871,46.70626208603427,1362
0,Northern Great Plains,ccpa,64,0.11639170729269033,41.85461222181469,1362
0,Prairie Gateway,ridge,0,-0.6790053462475789,57.3912089801801,390
0,Prairie Gateway,mlp,0,-0.5324014446726126,54.828404781901824,390
0,Prairie Gateway,ridge_support_only,8,-0.6268475100046302,56.492755370682545,390
0,Prairie Gateway,ridge_refit,8,-0.6444970094649791,56.79837072359963,390
0,Prairie Gateway,mlp_finetune,8,-0.0020005446095459067,44.33567376692953,390
0,Prairie Gateway,ccpa_no_climate,8,0.0012483532367607575,44.26373816450856,390
0,Prairie Gateway,ccpa,8,0.035625102538131004,43.495295190609816,390
0,Prairie Gateway,ridge_support_only,16,0.04034620063214567,43.3886989435756,390
0,Prairie Gateway,ridge_refit,16,-0.6236492989449376,56.437198645580864,390
0,Prairie Gateway,mlp_finetune,16,0.044675994358734705,43.29070709553216,390
0,Prairie Gateway,ccpa_no_climate,16,-0.04593248021808827,45.2971792959267,390
0,Prairie Gateway,ccpa,16,-0.07502488964778586,45.92282471919285,390
0,Prairie Gateway,ridge_support_only,32,-0.14935649184911304,47.48393596013762,390
0,Prairie Gateway,ridge_refit,32,-0.5770270302214429,55.6210140760932,390
0,Prairie Gateway,mlp_finetune,32,0.22441338807930755,39.006275683002904,390
0,Prairie Gateway,ccpa_no_climate,32,-0.0019516645235970742,44.33459235136237,390
0,Prairie Gateway,ccpa,32,0.03373708922671792,43.537851017798324,390
0,Prairie Gateway,ridge_support_only,64,0.1453285660287359,40.94670204749133,390
0,Prairie Gateway,ridge_refit,64,-0.5015949675950959,54.274488107749185,390
0,Prairie Gateway,mlp_finetune,64,0.21314638226711802,39.28857769357805,390
0,Prairie Gateway,ccpa_no_climate,64,-0.03749473961171801,45.114098736926614,390
0,Prairie Gateway,ccpa,64,-0.01762771186742218,44.68006503203165,390
0,Basin and Range,ridge,0,-38.05216244759866,147.66624650785405,35
0,Basin and Range,mlp,0,-13.777101829079347,90.83502189780354,35
0,Basin and Range,ridge_support_only,8,-0.864280129975493,32.26370793351537,35
0,Basin and Range,ridge_refit,8,-30.877187359044257,133.41316577331352,35
0,Basin and Range,mlp_finetune,8,-3.8771031744832127,52.18427615350044,35
0,Basin and Range,ccpa_no_climate,8,-2.276490204723115,42.772351696891555,35
0,Basin and Range,ccpa,8,-1.2452108235400736,35.40684711976093,35
0,Basin and Range,ridge_support_only,16,-0.038937593898349165,24.08537557844936,35
0,Basin and Range,ridge_refit,16,-26.926586926174668,124.87273469640215,35
0,Basin and Range,mlp_finetune,16,-2.585161154166431,44.74175684546258,35
0,Basin and Range,ccpa_no_climate,16,-3.0124265968563986,47.332805043744386,35
0,Basin and Range,ccpa,16,-1.4659627816545173,37.106667353651,35
0,Basin and Range,ridge_support_only,32,0.10081568568669619,22.406965906077353,35
0,Basin and Range,ridge_refit,32,-19.483552325752914,106.94520812998594,35
0,Basin and Range,mlp_finetune,32,-2.958514318144901,47.01374011370557,35
0,Basin and Range,ccpa_no_climate,32,-2.677991990665122,45.31730574270763,35
0,Basin and Range,ccpa,32,-1.5683550635938888,37.86920810980714,35
0,Basin and Range,ridge_support_only,64,0.23345580503815644,20.688418447181025,35
0,Basin and Range,ridge_refit,64,-13.805763059834533,90.92306968909463,35
0,Basin and Range,mlp_finetune,64,-2.725409272237989,45.608489354920266,35
0,Basin and Range,ccpa_no_climate,64,-2.8356172430848057,46.278185585361484,35
0,Basin and Range,ccpa,64,-1.4682992340336702,37.12424211905813,35
1,Southern Seaboard,ridge,0,-0.1278012435163478,33.01070439930044,2617
1,Southern Seaboard,mlp,0,-0.4671049404722738,37.650356855728475,2617
1,Southern Seaboard,ridge_support_only,8,-1.2642052382339433,46.77312667670932,2617
1,Southern Seaboard,ridge_refit,8,-0.12478601069396622,32.96654698372412,2617
1,Southern Seaboard,mlp_finetune,8,-0.4516421250292719,37.45141994267071,2617
1,Southern Seaboard,ccpa_no_climate,8,-0.5395009536784787,38.56812164102869,2617
1,Southern Seaboard,ccpa,8,-0.32831851251407884,35.825282173917884,2617
1,Southern Seaboard,ridge_support_only,16,-0.9012753221081689,42.86087300901107,2617
1,Southern Seaboard,ridge_refit,16,-0.12342226318580996,32.946555766952926,2617
1,Southern Seaboard,mlp_finetune,16,-0.5164630094661582,38.2784565212458,2617
1,Southern Seaboard,ccpa_no_climate,16,-0.6025873703305233,39.35041935679064,2617
1,Southern Seaboard,ccpa,16,-0.410590116064238,36.91806459008403,2617
1,Southern Seaboard,ridge_support_only,32,-0.509821189694315,38.194538351707514,2617
1,Southern Seaboard,ridge_refit,32,-0.11815119197977064,32.86917265248096,2617
1,Southern Seaboard,mlp_finetune,32,-0.4581509715755041,37.53528803389941,2617
1,Southern Seaboard,ccpa_no_climate,32,-0.6367099008547723,39.76714033291229,2617
1,Southern Seaboard,ccpa,32,-0.41441155472040214,36.968038248794976,2617
1,Southern Seaboard,ridge_support_only,64,-0.22531028259942776,34.40816768940758,2617
1,Southern Seaboard,ridge_refit,64,-0.11539470694677667,32.82863283492695,2617
1,Southern Seaboard,mlp_finetune,64,-0.36462957566924215,36.31164273850283,2617
1,Southern Seaboard,ccpa_no_climate,64,-0.517096302657934,38.286448458866296,2617
1,Southern Seaboard,ccpa,64,-0.28731004359770695,35.26793940050977,2617
1,Northern Crescent,ridge,0,0.211406751182032,23.59103262684603,2490
1,Northern Crescent,mlp,0,0.24015717575306195,23.157000610799738,2490
1,Northern Crescent,ridge_support_only,8,-0.19561356307027777,29.0479735461283,2490
1,Northern Crescent,ridge_refit,8,0.2151613285422478,23.53480589850626,2490
1,Northern Crescent,mlp_finetune,8,0.2075025522018623,23.649358239471283,2490
1,Northern Crescent,ccpa_no_climate,8,0.24810458892489984,23.035579439099468,2490
1,Northern Crescent,ccpa,8,0.3335460220684838,21.687300950750206,2490
