seed,held_out_region,method,r2,rmse,n_query
0,Southern Seaboard,ridge,-0.15367529643087052,33.45285124573328,2649
0,Southern Seaboard,mlp,-0.825431554072791,42.07984383953163,2649
0,Southern Seaboard,ridge_support_only,-0.25401008395787494,34.877219708029564,2649
0,Southern Seaboard,ridge_refit,-0.1530342206248676,33.443555391982514,2649
0,Southern Seaboard,mlp_finetune,-0.6092240022751361,39.50932350563161,2649
0,Southern Seaboard,ccpa_no_climate,-0.7144754610639643,40.78091628876861,2649
0,Southern Seaboard,ccpa,-0.8482607871630146,42.342155968497735,2649
0,Northern Crescent,ridge,-0.12942115492945416,28.176927379488614,2522
0,Northern Crescent,mlp,-0.3421587925335079,30.716209710185495,2522
0,Northern Crescent,ridge_support_only,-0.1109647922375454,27.945753343028098,2522
0,Northern Crescent,ridge_refit,-0.12072277952169963,28.06821362753193,2522
0,Northern Crescent,mlp_finetune,-0.13706930848701315,28.272169914209936,2522
0,Northern Crescent,ccpa_no_climate,-0.19194190577865067,28.946310608184422,2522
0,Northern Crescent,ccpa,-0.1258861568143823,28.132797053888535,2522
0,Heartland,ridge,-0.6984716995383213,38.85465160951671,1445
0,Heartland,mlp,-0.117277530955884,31.513337032859354,1445
0,Heartland,ridge_support_only,0.13409133862214806,27.742775253087324,1445
0,Heartland,ridge_refit,-0.6882009520340129,38.73699541280331,1445
0,Heartland,mlp_finetune,0.16089440171423885,27.31002961248258,1445
0,Heartland,ccpa_no_climate,-0.36143668442364296,34.78664827344034,1445
0,Heartland,ccpa,-0.17930045627562574,32.37621646362963,1445
0,Northern Great Plains,ridge,-0.32137086034159656,51.3326852747413,1394
0,Northern Great Plains,mlp,-0.3318640132788777,51.536101516513604,1394
0,Northern Great Plains,ridge_support_only,0.023076556881372667,44.13792236203556,1394
0,Northern Great Plains,ridge_refit,-0.2972409293628713,50.861825324006126,1394
0,Northern Great Plains,mlp_finetune,0.17373005112867468,40.59220093256602,1394
0,Northern Great Plains,ccpa_no_climate,-0.3970077466491151,52.78141487521154,1394
0,Northern Great Plains,ccpa,-0.18410060262040817,48.593247244123546,1394
0,Prairie Gateway,ridge,-0.5736812464221717,55.543743744214815,422
0,Prairie Gateway,mlp,-0.9011962268716263,61.050642069519334,422
0,Prairie Gateway,ridge_support_only,0.2778415898841745,37.626428805814136,422
0,Prairie Gateway,ridge_refit,-0.5238873915594691,54.657932730960425,422
0,Prairie Gateway,mlp_finetune,-0.1724004881545531,47.94184673909775,422
0,Prairie Gateway,ccpa_no_climate,-0.05608068016888179,45.50145798431899,422
0,Prairie Gateway,ccpa,-0.34364012599913263,51.323734113012854,422
0,Basin and Range,ridge,-7.353031605958336,81.44277762360105,67
0,Basin and Range,mlp,-7.354766213712505,81.45123347213853,67
0,Basin and Range,ridge_support_only,-0.03790732778236805,28.70845387245961,67
0,Basin and Range,ridge_refit,-5.585505393081624,72.31444700886307,67
0,Basin and Range,mlp_finetune,-0.9610100737778902,39.46121263870484,67
0,Basin and Range,ccpa_no_climate,-0.517735402606667,34.7159094483397,67
0,Basin and Range,ccpa,-0.7339872657378181,37.10679683961855,67
1,Southern Seaboard,ridge,-0.15421683773399675,33.39057872063879,2649
1,Southern Seaboard,mlp,-1.1233179745977995,45.28848174483059,2649
1,Southern Seaboard,ridge_support_only,-0.20666319704874114,34.140767263491455,2649
1,Southern Seaboard,ridge_refit,-0.1528918963980257,33.371408466008006,2649
1,Southern Seaboard,mlp_finetune,-0.6852039975178958,40.34655737033509,2649
1,Southern Seaboard,ccpa_no_climate,-0.858602160017808,42.371463263481566,2649
1,Southern Seaboard,ccpa,-0.907450766365347,42.92466476184763,2649
1,Northern Crescent,ridge,-0.13259049784407329,28.178753913921646,2522
1,Northern Crescent,mlp,-0.16055915329897474,28.524560926266357,2522
1,Northern Crescent,ridge_support_only,-0.03648907066653306,26.956759935337935,2522
1,Northern Crescent,ridge_refit,-0.12820981476832305,28.124205608167063,2522
1,Northern Crescent,mlp_finetune,-0.07949040148824627,27.510261591346016,2522
1,Northern Crescent,ccpa_no_climate,-0.2740689315266145,29.886963298281756,2522
1,Northern Crescent,ccpa,-0.10832666473854213,27.8752787161326,2522
1,Heartland,ridge,-0.6830459194410967,38.72272084826919,1445
1,Heartland,mlp,-0.0377284627778085,30.406031921727937,1445
1,Heartland,ridge_support_only,-0.009485935640492604,29.98941672406946,1445
1,Heartland,ridge_refit,-0.6709857878523029,38.583734529794754,1445
1,Heartland,mlp_finetune,0.21086773143271076,26.515070368946233,1445
1,Heartland,ccpa_no_climate,-0.16219951512856223,32.17793927127398,1445
1,Heartland,ccpa,0.1814449620705153,27.004853503087254,1445
1,Northern Great Plains,ridge,-0.3234238303794097,51.47960464316276,1394
1,Northern Great Plains,mlp,-0.7281060485596225,58.826217289043186,1394
1,Northern Great Plains,ridge_support_only,-0.14632051179804084,47.91138875148413,1394
1,Northern Great Plains,ridge_refit,-0.3035179447380607,51.09098018613668,1394
1,Northern Great Plains,mlp_finetune,0.13421590182181165,41.6380641626628,1394
1,Northern Great Plains,ccpa_no_climate,-0.2468157469322021,49.967413229884485,1394
1,Northern Great Plains,ccpa,-0.07402965646528914,46.3760616134601,1394
1,Prairie Gateway,ridge,-0.6542351460309352,55.202829206307584,422
1,Prairie Gateway,mlp,-0.5702651604718394,53.78351873237594,422
1,Prairie Gateway,ridge_support_only,0.24036668569550124,37.40801950697955,422
1,Prairie Gateway,ridge_refit,-0.6284218542225508,54.77043316282827,422
1,Prairie Gateway,mlp_finetune,0.03336029717768596,42.198307160714656,422
1,Prairie Gateway,ccpa_no_climate,-0.44332835231465917,51.56384401779291,422
1,Prairie Gateway,ccpa,-0.43615206945764595,51.435495594705365,422
1,Basin and Range,ridge,-10.946037470828138,81.67856494381881,67
1,Basin and Range,mlp,-10.246191894961452,79.24993364896724,67
1,Basin and Range,ridge_support_only,0.10343162174712983,22.37627913926991,67
1,Basin and Range,ridge_refit,-8.539432688388045,72.98900384138187,67
1,Basin and Range,mlp_finetune,-1.5807880811331638,37.96403233540643,67
1,Basin and Range,ccpa_no_climate,-2.1559531051514673,41.981836519421314,67
1,Basin and Range,ccpa,-1.134228599205072,34.52364403778158,67
2,Southern Seaboard,ridge,-0.15324093428536312,33.44542358319975,2649
2,Southern Seaboard,mlp,-1.1555050749421318,45.72473538491821,2649
2,Southern Seaboard,ridge_support_only,-0.13288388390888706,33.14891937267272,2649
2,Southern Seaboard,ridge_refit,-0.15220811455756578,33.43044369922811,2649
2,Southern Seaboard,mlp_finetune,-0.7396759813754916,41.07814841968831,2649
2,Southern Seaboard,ccpa_no_climate,-0.7362735285559017,41.03795850242123,2649
2,Southern Seaboard,ccpa,-0.6882495278531591,40.466439539992635,2649
2,Northern Crescent,ridge,-0.1296950555772871,28.060783878564475,2522
2,Northern Crescent,mlp,-0.3891281543705589,31.11647136084769,2522
2,Northern Crescent,ridge_support_only,-0.21817185148729168,29.13892092442349,2522
2,Northern Crescent,ridge_refit,-0.1200836787325581,27.941159173592478,2522
2,Northern Crescent,mlp_finetune,-0.06962173709428066,27.304504203246967,2522
2,Northern Crescent,ccpa_no_climate,-0.2765566780650437,29.829037207447755,2522
2,Northern Crescent,ccpa,-0.06750677192377452,27.277496220898037,2522
2,Heartland,ridge,-0.6974144312524806,38.97788253469487,1445
2,Heartland,mlp,0.019589120118590486,29.622953607178463,1445
2,Heartland,ridge_support_only,0.10717590128482091,28.26879193838281,1445
2,Heartland,ridge_refit,-0.6901014336498372,38.89382738717838,1445
2,Heartland,mlp_finetune,0.11341602828838249,28.16983058681973,1445
2,Heartland,ccpa_no_climate,-0.1940786431024113,32.691945237267134,1445
2,Heartland,ccpa,-0.04162261063711936,30.53370438963058,1445
2,Northern Great Plains,ridge,-0.33061027288623235,51.40535745518715,1394
2,Northern Great Plains,mlp,-0.7281577429989918,58.58340876500934,1394
