features,partition,method,r2_mean,r2_std,n_folds
monthly,clim,ccpa,0.17116423732988556,0.027826232569288192,8
monthly,clim,ccpa_no_climate,0.10186151889363797,0.016954525735792904,8
monthly,clim,mlp,0.020683211960669516,0.06341913502249533,8
monthly,clim,mlp_finetune,0.19234546077276385,0.029437617803415576,8
monthly,clim,ridge,-0.4287236839299536,0.017122937779482417,8
monthly,clim,ridge_refit,-0.31142031075454757,0.021030501008414287,8
monthly,clim,ridge_support_only,-0.11317655959325716,0.34774510722916047,8
monthly,ers,ccpa,0.16516551024814002,0.029558991701799903,8
monthly,ers,ccpa_no_climate,0.00803677336310189,0.05897750203457902,8
monthly,ers,mlp,-0.3242722516719772,0.07390192209759212,8
monthly,ers,mlp_finetune,0.05025519789368562,0.027909811077408676,8
monthly,ers,ridge,-0.8100864953441075,0.01220321572582342,8
monthly,ers,ridge_refit,-0.656625031152273,0.02838834880088381,8
monthly,ers,ridge_support_only,0.1127456894535626,0.04329107559133287,8
monthly,state,ccpa,-0.14937659873897788,0.0787716340192383,6
monthly,state,ccpa_no_climate,-0.3025850094180169,0.07488736257234839,6
monthly,state,mlp,-2.71671205953793,1.2752724947505985,6
monthly,state,mlp_finetune,-0.13861418499244113,0.1403575892086618,6
monthly,state,ridge,-5.484218284565879,1.078488259568431,6
monthly,state,ridge_refit,-3.0049036760555445,0.6529687714469353,6
monthly,state,ridge_support_only,0.009471226840174518,0.18210584868646734,6
seasonal,clim,ccpa,-0.1113840967384517,0.02363631822383988,8
seasonal,clim,ccpa_no_climate,-0.2506918344027914,0.021100823703664718,8
seasonal,clim,mlp,-0.22346304749128337,0.05489862528341221,8
seasonal,clim,mlp_finetune,-0.018540741400412973,0.021832717143869886,8
seasonal,clim,ridge,-0.5526146246515805,0.012284413358976044,8
seasonal,clim,ridge_refit,-0.5020017344741252,0.014908095117098471,8
seasonal,clim,ridge_support_only,-0.035889929338021445,0.03507576224085008,8
seasonal,ers,ccpa,-0.3026420564970186,0.04245436374640972,8
seasonal,ers,ccpa_no_climate,-0.476964602046771,0.01997035185447947,8
seasonal,ers,mlp,-0.7254478317442687,0.09007069432775039,8
seasonal,ers,mlp_finetune,-0.10441004952550954,0.028826228860704597,8
seasonal,ers,ridge,-0.7730437055804746,0.005976265414556458,8
seasonal,ers,ridge_refit,-0.7401041956311449,0.005929801565213983,8
seasonal,ers,ridge_support_only,0.08948672475862017,0.02355569846659342,8
seasonal,state,ccpa,-0.41306738122638087,0.05756528326642172,6
seasonal,state,ccpa_no_climate,-0.559743450999839,0.17156858179782908,6
seasonal,state,mlp,-1.9130529120382866,0.49590708123170646,6
seasonal,state,mlp_finetune,-0.2733488509494647,0.11520896236241163,6
seasonal,state,ridge,-1.72205880238879,0.27025120788633517,6
seasonal,state,ridge_refit,-1.407767261285552,0.2233299141135284,6
seasonal,state,ridge_support_only,0.04279826636519684,0.019924304226001725,6
