held_out_region,method,support_size,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Southern Seaboard,ridge,0,-0.15344800720601942,0.0009081906011972107,33.434469598810004,0.05158114013051906,2617
Southern Seaboard,mlp,0,-0.9786528245375246,0.14957957717646359,43.765488513249736,1.651867113349568,2617
Southern Seaboard,ridge_support_only,8,-0.40526899363634394,0.3073581948448402,36.729560027128336,3.934091586955976,2617
Southern Seaboard,ridge_support_only,16,-0.38613403159798765,0.19673677607041432,36.57301577656136,2.6005730980906514,2617
Southern Seaboard,ridge_support_only,32,-0.16793810376679516,0.06421825615401876,33.634329504293035,0.952938707249885,2617
Southern Seaboard,ridge_support_only,64,-0.048941900533922666,0.03929215291451479,31.87972892596696,0.6098701983600209,2617
Southern Seaboard,ridge_refit,8,-0.15355331881142567,0.0010008760840470058,33.435995624374115,0.05210618798415262,2617
Southern Seaboard,ridge_refit,16,-0.15351139320704904,0.0011002999630939558,33.43538554671702,0.05096321307736599,2617
Southern Seaboard,ridge_refit,32,-0.1529647067193937,0.0009837006616164672,33.42746252834341,0.050754680284293016,2617
Southern Seaboard,ridge_refit,64,-0.15164538422490267,0.0014788913476674395,33.40832255507415,0.04815735129816496,2617
Southern Seaboard,mlp_finetune,8,-0.6259396799378494,0.09049139545852883,39.68451520502164,1.1042911701318707,2617
Southern Seaboard,mlp_finetune,16,-0.6269412174904788,0.07579844202599141,39.70000670748374,0.9304002153711545,2617
Southern Seaboard,mlp_finetune,32,-0.620026847214195,0.10419298822065526,39.607991683997255,1.3199236504405014,2617
Southern Seaboard,mlp_finetune,64,-0.5810528322236267,0.09119648128204397,39.13261662050773,1.1849278638596394,2617
Southern Seaboard,ccpa_no_climate,8,-0.6579941204934712,0.08972260829098407,40.07402031552523,1.1123140038787225,2617
Southern Seaboard,ccpa_no_climate,16,-0.674672615835086,0.06704734718970091,40.280518997701606,0.8459053372053508,2617
Southern Seaboard,ccpa_no_climate,32,-0.6944002350219607,0.09094108656809417,40.51161751910425,1.0836314439185242,2617
Southern Seaboard,ccpa_no_climate,64,-0.709992486084491,0.06698754150891767,40.7034075875613,0.8386185236232212,2617
Southern Seaboard,ccpa,8,-0.7127354389769608,0.07714574350402419,40.73382059346159,0.9291776387381202,2617
Southern Seaboard,ccpa,16,-0.7282838751689921,0.06857272906277903,40.920199473861715,0.830757564826416,2617
Southern Seaboard,ccpa,32,-0.7525636773535088,0.08551117819479824,41.203064029875364,1.0017545865686983,2617
Southern Seaboard,ccpa,64,-0.7516500814201764,0.07916922297432177,41.1938195401027,0.9474698308060274,2617
Northern Crescent,ridge,0,-0.13110844991348594,0.003194503209284009,28.148076701957752,0.09870515685379762,2490
Northern Crescent,mlp,0,-0.27772920351532615,0.1133669910183254,29.890808181250588,1.274030903879915,2490
Northern Crescent,ridge_support_only,8,-0.28689149458796404,0.103603447140923,30.004499359169234,1.167514423116888,2490
Northern Crescent,ridge_support_only,16,-0.22874431625726016,0.2533811263242646,29.209134628192174,2.985047096723405,2490
Northern Crescent,ridge_support_only,32,-0.09142248709269216,0.0818190266308457,27.632938175007656,0.9686171556869382,2490
