seed,held_out_region,method,r2,rmse,n_query
0,Clim-0,ridge,0.03601514096888836,31.241179089338363,2926
0,Clim-0,mlp,0.10057514580444737,30.176908938225523,2926
0,Clim-0,ridge_support_only,0.06263677181116145,30.80677710915499,2926
0,Clim-0,ridge_refit,0.03628756812030165,31.236764317290472,2926
0,Clim-0,mlp_finetune,0.10808621267790497,30.050641593371513,2926
0,Clim-0,ccpa_no_climate,0.08609724736480806,30.41881578584173,2926
0,Clim-0,ccpa,0.0974459038809169,30.229358487358045,2926
0,Clim-1,ridge,-0.17019224379088338,31.892455490365343,2375
0,Clim-1,mlp,0.23579575509062267,25.772946565698703,2375
0,Clim-1,ridge_support_only,-0.29135866515588726,33.50293008241073,2375
0,Clim-1,ridge_refit,-0.1684618979025747,31.868867317175095,2375
0,Clim-1,mlp_finetune,0.2628801343596243,25.312113450457456,2375
0,Clim-1,ccpa_no_climate,-0.06937056490443272,30.487615831153505,2375
0,Clim-1,ccpa,0.02555023208646845,29.103088418028968,2375
0,Clim-2,ridge,-0.05650445569972429,35.424593786646916,1054
0,Clim-2,mlp,-0.24706923465630437,38.48703856575944,1054
0,Clim-2,ridge_support_only,-0.06284432807895102,35.530722768675524,1054
0,Clim-2,ridge_refit,-0.056757737913532225,35.42883980842205,1054
0,Clim-2,mlp_finetune,-0.22953565609883197,38.21552024690817,1054
0,Clim-2,ccpa_no_climate,-0.32012846797432704,39.59837012516431,1054
0,Clim-2,ccpa,-0.2839889000379876,39.052590461012585,1054
0,Clim-3,ridge,-0.34119906699369684,36.0276475075306,587
0,Clim-3,mlp,0.14886829394265655,28.700381402605707,587
0,Clim-3,ridge_support_only,0.04572510324495338,30.38967344491812,587
0,Clim-3,ridge_refit,-0.3385558966792477,35.992129226046735,587
0,Clim-3,mlp_finetune,0.2121167184451188,27.613421757228764,587
0,Clim-3,ccpa_no_climate,-0.056580272213387905,31.97720730609663,587
0,Clim-3,ccpa,-0.04644724863622951,31.823500845806578,587
0,Clim-4,ridge,-0.23273447812025272,49.26362424735674,519
0,Clim-4,mlp,0.16761020514020386,40.48134757079831,519
0,Clim-4,ridge_support_only,0.05152636512897435,43.21198524985845,519
0,Clim-4,ridge_refit,-0.22112980839434027,49.031197920619135,519
0,Clim-4,mlp_finetune,0.22496820868403367,39.061718532460766,519
0,Clim-4,ccpa_no_climate,-0.07291065658450813,45.95929594478011,519
0,Clim-4,ccpa,0.08056985496203073,42.545237951673116,519
0,Clim-5,ridge,-0.17973435222993772,39.853708289017426,347
0,Clim-5,mlp,-0.2683521873694279,41.323448411922975,347
0,Clim-5,ridge_support_only,-0.014655815458634036,36.96034353835261,347
0,Clim-5,ridge_refit,-0.17502177657799778,39.77402867684986,347
0,Clim-5,mlp_finetune,-0.022673717876242172,37.10608817898788,347
0,Clim-5,ccpa_no_climate,-0.23889618257751488,40.84078510597676,347
0,Clim-5,ccpa,-0.33812124676822797,42.44478695667879,347
0,Clim-6,ridge,-0.8927143343405575,75.82169744007372,339
0,Clim-6,mlp,-0.5461653977193295,68.52971759592168,339
0,Clim-6,ridge_support_only,0.04953481647790137,53.73027627566313,339
0,Clim-6,ridge_refit,-0.7054055184101382,71.97220349612292,339
0,Clim-6,mlp_finetune,-0.16616842911834073,59.51570839017988,339
0,Clim-6,ccpa_no_climate,-0.050416522963286914,56.48481875021007,339
0,Clim-6,ccpa,-0.011323447423368327,55.42376256080672,339
0,Clim-7,ridge,-2.5451930661658597,57.460940067161985,288
0,Clim-7,mlp,-1.2753079856124518,46.03338133643917,288
0,Clim-7,ridge_support_only,-0.05265980184506858,31.310990079284295,288
0,Clim-7,ridge_refit,-2.3924052717114153,56.209101855559915,288
0,Clim-7,mlp_finetune,-0.2452758315754493,34.05536668917979,288
0,Clim-7,ccpa_no_climate,-1.1701009671663556,44.95652678284227,288
0,Clim-7,ccpa,-0.7140503638658386,39.95439607379657,288
1,Clim-0,ridge,0.03673618112061394,31.246396045061342,2926
1,Clim-0,mlp,0.06707146148760623,30.750451607352012,2926
1,Clim-0,ridge_support_only,0.10323106738547072,30.148630298020652,2926
1,Clim-0,ridge_refit,0.037008012852965955,31.241986888858875,2926
1,Clim-0,mlp_finetune,0.09858440873278318,30.22663779015421,2926
1,Clim-0,ccpa_no_climate,0.08115935522430273,30.517391418359445,2926
1,Clim-0,ccpa,0.0769710249528821,30.58686570087393,2926
1,Clim-1,ridge,-0.1705941254386989,31.922935231853923,2375
1,Clim-1,mlp,0.21419580864167498,26.155126033294824,2375
1,Clim-1,ridge_support_only,-0.00011563327628105746,29.506979477299375,2375
1,Clim-1,ridge_refit,-0.1674359896335329,31.879843842295635,2375
1,Clim-1,mlp_finetune,0.23605829080353102,25.78871826444958,2375
1,Clim-1,ccpa_no_climate,-0.012030759128836666,29.682228417032483,2375
1,Clim-1,ccpa,0.019533913658026147,29.215675677018215,2375
1,Clim-2,ridge,-0.05519870489427636,35.257769343931386,1054
1,Clim-2,mlp,-0.29195964948729514,39.01325465245813,1054
1,Clim-2,ridge_support_only,-0.0503427509033374,35.17654884305771,1054
1,Clim-2,ridge_refit,-0.05497072085850041,35.253960278047984,1054
1,Clim-2,mlp_finetune,-0.10995852474867851,36.161054209668656,1054
1,Clim-2,ccpa_no_climate,-0.326347620209652,39.52905106468988,1054
1,Clim-2,ccpa,-0.36626351055933815,40.119447386558505,1054
1,Clim-3,ridge,-0.3265987368279155,35.6124370129848,587
1,Clim-3,mlp,0.11553333890277562,29.078542729745852,587
1,Clim-3,ridge_support_only,-0.05643142752961028,31.779902511820463,587
1,Clim-3,ridge_refit,-0.31549568348460055,35.46309358194302,587
1,Clim-3,mlp_finetune,0.1645108056482537,28.261962974913782,587
1,Clim-3,ccpa_no_climate,0.01938992362688774,30.618229936744996,587
1,Clim-3,ccpa,0.011208409261005081,30.745693011364313,587
