seed,held_out_region,method,r2,rmse,n_query
1,Northern Crescent,mlp_finetune,0.248859617240656,22.948055052268057,2522
1,Northern Crescent,ccpa_no_climate,0.2163589546440826,23.439261009160663,2522
1,Northern Crescent,ccpa,0.3307685884831043,21.66074980828509,2522
1,Heartland,ridge,-0.0415021859625401,30.461267864333426,1445
1,Heartland,mlp,0.4025762229310825,23.070613012679622,1445
1,Heartland,ridge_support_only,0.3886185989533987,23.33855665785601,1445
1,Heartland,ridge_refit,-0.025731004946641045,30.229754787685792,1445
1,Heartland,mlp_finetune,0.4508396005795789,22.119101874518115,1445
1,Heartland,ccpa_no_climate,0.0592228167401257,28.95084676789392,1445
1,Heartland,ccpa,0.3755319199698766,23.58701617218336,1445
1,Northern Great Plains,ridge,-0.5194738282893527,55.16102653379219,1394
1,Northern Great Plains,mlp,-0.5790040944979624,56.2312005277011,1394
1,Northern Great Plains,ridge_support_only,0.018508257860331834,44.33319719651301,1394
1,Northern Great Plains,ridge_refit,-0.45632974951684835,54.00271420862374,1394
1,Northern Great Plains,mlp_finetune,0.1361521916446402,41.59147720858345,1394
1,Northern Great Plains,ccpa_no_climate,-0.0697215715338352,46.282957683626975,1394
1,Northern Great Plains,ccpa,0.1215052739781541,41.94259597106278,1394
1,Prairie Gateway,ridge,-0.723830747329026,56.352089746629055,422
1,Prairie Gateway,mlp,-0.7145699904450351,56.20051866563447,422
1,Prairie Gateway,ridge_support_only,0.26537069511058164,36.78720893142525,422
1,Prairie Gateway,ridge_refit,-0.6266227113495011,54.74016856434124,422
1,Prairie Gateway,mlp_finetune,0.0718334867794162,41.350014140459066,422
1,Prairie Gateway,ccpa_no_climate,-0.0807926269921424,44.62044541350581,422
1,Prairie Gateway,ccpa,-0.1327814934107969,45.68101942723166,422
1,Basin and Range,ridge,-42.63884338331766,156.11073848048397,67
1,Basin and Range,mlp,-16.581668945860383,99.08917477584498,67
1,Basin and Range,ridge_support_only,0.049692158744276016,23.037127123521593,67
1,Basin and Range,ridge_refit,-23.672088877684036,117.38135618133163,67
1,Basin and Range,mlp_finetune,-1.452634525197836,37.00944574882941,67
1,Basin and Range,ccpa_no_climate,-1.4076090514915405,36.6681624020821,67
1,Basin and Range,ccpa,-1.102559601192881,34.26654518210955,67
2,Southern Seaboard,ridge,-0.1234986206458035,33.011324352913384,2649
2,Southern Seaboard,mlp,-0.3163939547147014,35.73301120877268,2649
2,Southern Seaboard,ridge_support_only,-0.022409651073926895,31.49119536266139,2649
2,Southern Seaboard,ridge_refit,-0.1180650216480228,32.931400935701056,2649
2,Southern Seaboard,mlp_finetune,-0.2641102304577687,35.01621087559103,2649
2,Southern Seaboard,ccpa_no_climate,-0.3205599248764927,35.78950837975627,2649
2,Southern Seaboard,ccpa,-0.3439285039268518,36.10478461811299,2649
2,Northern Crescent,ridge,0.210115027039767,23.46394925757208,2522
2,Northern Crescent,mlp,0.172619272020946,24.014408019052393,2522
2,Northern Crescent,ridge_support_only,0.1182811846108427,24.790440235558748,2522
2,Northern Crescent,ridge_refit,0.2306642707964991,23.156724886085595,2522
2,Northern Crescent,mlp_finetune,0.1001716037297452,25.04373110114507,2522
2,Northern Crescent,ccpa_no_climate,0.2895060515158646,22.25355383368784,2522
2,Northern Crescent,ccpa,0.2752782444688669,22.475265680836767,2522
2,Heartland,ridge,-0.0498613776202006,30.65422049536364,1445
2,Heartland,mlp,0.3276109939976471,24.532092823675544,1445
2,Heartland,ridge_support_only,0.12585386575755309,27.971536167950607,1445
2,Heartland,ridge_refit,-0.04371111702791408,30.564299877221202,1445
2,Heartland,mlp_finetune,0.3634583605379119,23.86919137725555,1445
2,Heartland,ccpa_no_climate,0.2203429382683511,26.416550465711644,1445
2,Heartland,ccpa,0.3525003085657514,24.07376851953219,1445
2,Northern Great Plains,ridge,-0.5261146885599672,55.05243509685043,1394
2,Northern Great Plains,mlp,-0.3439187142196205,51.66178981774005,1394
2,Northern Great Plains,ridge_support_only,0.01604660881564479,44.204879477728134,1394
2,Northern Great Plains,ridge_refit,-0.4617915885862405,53.87976299258169,1394
2,Northern Great Plains,mlp_finetune,0.1754060780960952,40.46718660493515,1394
2,Northern Great Plains,ccpa_no_climate,-0.2389402908827429,49.60302195243378,1394
2,Northern Great Plains,ccpa,0.0491999548853921,43.45377829586046,1394
2,Prairie Gateway,ridge,-0.7102303798730216,57.1833404036419,422
2,Prairie Gateway,mlp,-1.04688779303874,62.55891832907311,422
2,Prairie Gateway,ridge_support_only,0.2293544197080224,38.38570832573799,422
2,Prairie Gateway,ridge_refit,-0.6403516825508497,56.002923276378574,422
2,Prairie Gateway,mlp_finetune,0.0909632532994215,41.69009959862212,422
2,Prairie Gateway,ccpa_no_climate,0.0053909092699746,43.60822654121976,422
2,Prairie Gateway,ccpa,0.0242278531392909,43.19330356081641,422
2,Basin and Range,ridge,-27.181581109238863,154.5349588295275,67
2,Basin and Range,mlp,-7.184394355010115,83.27935189865094,67
2,Basin and Range,ridge_support_only,0.40422425605336143,22.46908938699568,67
2,Basin and Range,ridge_refit,-14.572626461832467,114.87486032240102,67
2,Basin and Range,mlp_finetune,-2.3960199684939827,53.644991492797374,67
2,Basin and Range,ccpa_no_climate,-1.2509525190907258,43.67442845052758,67
2,Basin and Range,ccpa,-2.000847964209654,50.427339934631014,67
3,Southern Seaboard,ridge,-0.1241640954272162,33.02691847361991,2649
3,Southern Seaboard,mlp,-0.2904163111135549,35.38491211107073,2649
3,Southern Seaboard,ridge_support_only,-0.09997248152116378,32.669621991193445,2649
3,Southern Seaboard,ridge_refit,-0.12624973200599987,33.057541329418704,2649
3,Southern Seaboard,mlp_finetune,-0.3826356694714792,36.62748318085385,2649
3,Southern Seaboard,ccpa_no_climate,-0.4002144442157906,36.85958794827648,2649
3,Southern Seaboard,ccpa,-0.3903401176572143,36.729390909158155,2649
3,Northern Crescent,ridge,0.2095780416194337,23.5033448493076,2522
