held_out_region,method,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Southern Seaboard,ridge,-0.12343811417252852,0.0018511293520559005,33.011290784591594,0.025790478093108,2649
Southern Seaboard,mlp,-0.36057524397650753,0.08009769557834398,36.31590137093805,1.046677658135323,2649
Southern Seaboard,ridge_support_only,-0.09986030392661878,0.12888387453732378,32.619100374712126,1.8243908485300082,2649
Southern Seaboard,ridge_refit,-0.11839911632870388,0.004520090270070302,32.93715305840419,0.07927971740179077,2649
Southern Seaboard,mlp_finetune,-0.3373941114409852,0.08581305310649028,36.00232046013174,1.1048490525205636,2649
Southern Seaboard,ccpa_no_climate,-0.471711314155937,0.14268250484788922,37.74704532889082,1.7748756192102633,2649
Southern Seaboard,ccpa,-0.37279359844493265,0.0750954742156214,36.47940538822887,0.9669311857936486,2649
Northern Crescent,ridge,0.21062001014354062,0.0017638963578022091,23.509742166847715,0.03221077106485762,2522
Northern Crescent,mlp,0.1788269706118061,0.0539324854627384,23.967902019138076,0.7581984942690778,2522
Northern Crescent,ridge_support_only,0.08782875700514417,0.10686685469694909,25.238357666929964,1.5093034417171562,2522
Northern Crescent,ridge_refit,0.22422780559661434,0.007973656531280574,23.306008474996602,0.12574090740894853,2522
Northern Crescent,mlp_finetune,0.1519273012227286,0.07152799367179095,24.349821936138813,1.0190205986175391,2522
Northern Crescent,ccpa_no_climate,0.20326700806826842,0.1070127255110513,23.57796713944443,1.5605955249953503,2522
Northern Crescent,ccpa,0.25614888276205644,0.06685827855154666,22.80426386156571,1.0400426252135642,2522
Heartland,ridge,-0.04834795323786826,0.007439452707963662,30.578738781335954,0.07589985220128671,1445
Heartland,mlp,0.37400737050991456,0.03224040068925272,23.623171664976805,0.6009940473442712,1445
Heartland,ridge_support_only,-0.10443024706983009,0.831499618018055,30.01897865543354,10.128919466812592,1445
Heartland,ridge_refit,-0.038075496577521094,0.009882899337946343,30.428436238818893,0.12435264651413916,1445
Heartland,mlp_finetune,0.40665236232062585,0.03269987221422798,22.998149779133417,0.63654722584145,1445
Heartland,ccpa_no_climate,0.07953977591478631,0.09205871171900978,28.622058263482348,1.4101355895692702,1445
Heartland,ccpa,0.3515268577954166,0.021560259824995275,24.048008327642805,0.4415042702097779,1445
Northern Great Plains,ridge,-0.523318617796166,0.011535668094494108,55.09603829940975,0.19991044028088512,1394
Northern Great Plains,mlp,-0.4292480923889032,0.1434642922775328,53.316727432771394,2.7068350254856157,1394
Northern Great Plains,ridge_support_only,-0.30019199736684643,0.41988210832937983,50.39880440685859,7.97766074791233,1394
Northern Great Plains,ridge_refit,-0.45915768983960115,0.03336603268243284,53.92074711103264,0.6097111233524376,1394
Northern Great Plains,mlp_finetune,0.15214686393534463,0.0908900085795811,41.05888439901579,2.1709657782736835,1394
Northern Great Plains,ccpa_no_climate,-0.18157232045601393,0.11150789101742002,48.47979770897627,2.2314367543855655,1394
Northern Great Plains,ccpa,0.04855584585351304,0.06462017724179424,43.522094367839344,1.4285358532784536,1394
Prairie Gateway,ridge,-0.7162872311968076,0.01485876295696154,57.28343900380931,0.5577135394759424,422
Prairie Gateway,mlp,-0.828825871039957,0.21485192791893334,59.05770177918102,3.621584554798599,422
Prairie Gateway,ridge_support_only,0.2978885154050883,0.0557841712394719,36.610431213157185,1.3431297872624623,422
Prairie Gateway,ridge_refit,-0.6235443956845179,0.019021329714275753,55.713607740005614,0.5517030154482687,422
Prairie Gateway,mlp_finetune,0.1579425003779019,0.08959216175042073,40.070206396299206,2.0215470162780202,422
Prairie Gateway,ccpa_no_climate,0.008630875472991217,0.07242771743374811,43.508351078058325,1.4839682153611027,422
Prairie Gateway,ccpa,0.006203501868014679,0.0955145272077193,43.54087411011513,1.8689505449815618,422
Basin and Range,ridge,-31.704537801135437,6.469908056891434,154.2195530547709,2.8946820647959375,67
Basin and Range,mlp,-15.234457490943933,7.473370035262492,106.55415397711224,21.48739564630712,67
Basin and Range,ridge_support_only,0.17559263699410993,0.1611913065435023,24.57221716022715,2.791565887347912,67
Basin and Range,ridge_refit,-17.014473163499538,3.914780709417975,114.35331669134897,4.517104289580457,67
Basin and Range,mlp_finetune,-1.3629600263702626,0.7087536872725719,41.474960858894164,7.596796537534208,67
Basin and Range,ccpa_no_climate,-1.4536640813521964,0.43132024916752243,42.5066884951243,5.1330018502535975,67
Basin and Range,ccpa,-1.1859010822679354,0.5645847979460586,40.14395183377515,7.376009882212451,67
MACRO,ridge,-5.484218284565879,1.078488259568431,58.94980034846087,0.43202516488286463,8499
MACRO,mlp,-2.71671205953793,1.2752724947505985,50.47259304068626,4.0164754251461225,8499
MACRO,ridge_support_only,0.009471226840174518,0.18210584868646734,33.24298157955309,2.756583185172654,8499
MACRO,ridge_refit,-3.0049036760555445,0.6529687714469353,51.77654488576782,0.6863150554274825,8499
MACRO,mlp_finetune,-0.13861418499244113,0.1403575892086618,34.32572397160219,1.665740101477277,8499
MACRO,ccpa_no_climate,-0.3025850094180169,0.07488736257234839,37.40698466899609,0.7122348455468884,8499
MACRO,ccpa,-0.14937659873897788,0.0787716340192383,35.089766314861166,0.9850901189186276,8499
