held_out_region,method,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Southern Seaboard,ridge,-0.12343811417252856,0.0018511293520559007,33.011290784591594,0.025790478093108,2649
Southern Seaboard,mlp,-0.3605752439765076,0.08009769557834401,36.31590137093805,1.046677658135323,2649
Southern Seaboard,ridge_support_only,-0.4264860919779891,0.17290717548022455,37.143085449570684,2.2571520437051467,2649
Southern Seaboard,ridge_refit,-0.11824674781252723,0.004490981831476629,32.934910417136805,0.07913459964369927,2649
Southern Seaboard,mlp_finetune,-0.3373941114409852,0.08581305310649028,36.00232046013174,1.1048490525205636,2649
Southern Seaboard,ccpa_no_climate,-0.471711314155937,0.1426825048478892,37.74704532889082,1.7748756192102633,2649
Southern Seaboard,ccpa,-0.37279359844493265,0.0750954742156214,36.47940538822887,0.9669311857936486,2649
Northern Crescent,ridge,0.21062001014354062,0.0017638963578022325,23.509742166847715,0.03221077106485647,2522
Northern Crescent,mlp,0.17882697061180614,0.05393248546273841,23.967902019138076,0.7581984942690778,2522
Northern Crescent,ridge_support_only,-0.07191609654859044,0.07820190368799973,27.379971259179722,0.9598722084164755,2522
Northern Crescent,ridge_refit,0.22237929962842368,0.00731156021297198,23.333794206230053,0.11510138450430935,2522
Northern Crescent,mlp_finetune,0.15192730122272863,0.07152799367179098,24.349821936138813,1.0190205986175391,2522
Northern Crescent,ccpa_no_climate,0.20326700806826842,0.10701272551105126,23.57796713944443,1.5605955249953494,2522
Northern Crescent,ccpa,0.2561488827620565,0.06685827855154663,22.80426386156571,1.0400426252135637,2522
Heartland,ridge,-0.048347953237868294,0.007439452707963638,30.578738781335954,0.07589985220128892,1445
Heartland,mlp,0.3740073705099146,0.03224040068925271,23.623171664976805,0.6009940473442705,1445
Heartland,ridge_support_only,0.25948457514358825,0.13253107029461395,25.623406106926574,2.2891366457402462,1445
Heartland,ridge_refit,-0.03738828746141691,0.009903886691945427,30.418361791307653,0.1249746371451846,1445
Heartland,mlp_finetune,0.40665236232062585,0.032699872214227994,22.998149779133417,0.63654722584145,1445
Heartland,ccpa_no_climate,0.07953977591478636,0.09205871171900978,28.62205826348234,1.4101355895692687,1445
Heartland,ccpa,0.3515268577954166,0.02156025982499528,24.048008327642805,0.4415042702097779,1445
Northern Great Plains,ridge,-0.523318617796166,0.011535668094494108,55.09603829940975,0.19991044028088512,1394
Northern Great Plains,mlp,-0.4292480923889032,0.1434642922775328,53.316727432771394,2.7068350254856157,1394
Northern Great Plains,ridge_support_only,-0.43103666820158376,0.4190295644667887,52.90759807891086,8.135241494793485,1394
Northern Great Plains,ridge_refit,-0.46068332193612527,0.03357575606875115,53.94890116140279,0.6135212906651778,1394
Northern Great Plains,mlp_finetune,0.15214686393534466,0.09089000857958109,41.05888439901579,2.1709657782736835,1394
Northern Great Plains,ccpa_no_climate,-0.18157232045601396,0.11150789101742001,48.47979770897627,2.2314367543855638,1394
Northern Great Plains,ccpa,0.048555845853513066,0.06462017724179427,43.522094367839344,1.4285358532784536,1394
Prairie Gateway,ridge,-0.7162872311968076,0.01485876295696154,57.28343900380931,0.5577135394759424,422
Prairie Gateway,mlp,-0.828825871039957,0.21485192791893334,59.05770177918102,3.621584554798599,422
Prairie Gateway,ridge_support_only,-0.19333808688698745,0.38356744076765525,47.32195503546855,7.42786641107533,422
Prairie Gateway,ridge_refit,-0.6256225519270252,0.018303245795743352,55.74942323710794,0.5584067139570142,422
Prairie Gateway,mlp_finetune,0.15794250037790195,0.0895921617504207,40.070206396299206,2.0215470162780202,422
Prairie Gateway,ccpa_no_climate,0.008630875472991262,0.07242771743374812,43.50835107805833,1.4839682153611073,422
Prairie Gateway,ccpa,0.0062035018680147045,0.09551452720771936,43.54087411011513,1.8689505449815618,422
Basin and Range,ridge,-31.704537801135437,6.469908056891434,154.2195530547709,2.8946820647959437,67
Basin and Range,mlp,-15.234457490943933,7.4733700352624926,106.55415397711224,21.48739564630712,67
Basin and Range,ridge_support_only,-0.10432911333492181,0.38625626502024724,28.342458131601205,5.889333989444486,67
Basin and Range,ridge_refit,-17.01821991347941,3.9108954072805964,114.3681018668054,4.507321828043726,67
Basin and Range,mlp_finetune,-1.3629600263702626,0.7087536872725719,41.474960858894164,7.596796537534208,67
Basin and Range,ccpa_no_climate,-1.4536640813521964,0.43132024916752265,42.5066884951243,5.1330018502535975,67
Basin and Range,ccpa,-1.1859010822679354,0.5645847979460586,40.14395183377515,7.376009882212451,67
MACRO,ridge,-5.484218284565879,1.078488259568431,58.94980034846087,0.43202516488286463,8499
MACRO,mlp,-2.71671205953793,1.2752724947505985,50.47259304068626,4.0164754251461225,8499
MACRO,ridge_support_only,-0.1612702469677474,0.10315554068367835,36.45307901027627,1.919177072530892,8499
MACRO,ridge_refit,-3.0062969204980137,0.6522731114257142,51.792248779998445,0.6796916728833184,8499
MACRO,mlp_finetune,-0.1386141849924411,0.1403575892086618,34.32572397160219,1.6657401014772792,8499
MACRO,ccpa_no_climate,-0.30258500941801686,0.07488736257234839,37.40698466899609,0.7122348455468884,8499
MACRO,ccpa,-0.14937659873897785,0.07877163401923828,35.089766314861166,0.9850901189186276,8499
