seed,held_out_region,method,support_size,r2,rmse,n_query
0,Southern Seaboard,ridge,0,-0.1535415181842683,33.490110295155205,2617
0,Southern Seaboard,mlp,0,-0.82495948709291,42.12370635552203,2617
0,Southern Seaboard,ridge_support_only,8,-0.22535814851726643,34.51687615240943,2617
0,Southern Seaboard,ridge_refit,8,-0.15335465115314384,33.487397583539426,2617
0,Southern Seaboard,mlp_finetune,8,-0.5622925029495933,38.97455247124959,2617
0,Southern Seaboard,ccpa_no_climate,8,-0.6445285966245902,39.98717079108573,2617
0,Southern Seaboard,ccpa,8,-0.7756628526661116,41.5508791632633,2617
0,Southern Seaboard,ridge_support_only,16,-0.08212007664016174,32.4367766213475,2617
0,Southern Seaboard,ridge_refit,16,-0.15314231824449398,33.48431492209821,2617
0,Southern Seaboard,mlp_finetune,16,-0.5655677923658085,39.01538544717243,2617
0,Southern Seaboard,ccpa_no_climate,16,-0.6678945052513363,40.270243132916775,2617
0,Southern Seaboard,ccpa,16,-0.8255788916333613,42.130854295412306,2617
0,Southern Seaboard,ridge_support_only,32,-0.10043372714442,32.710102800129974,2617
0,Southern Seaboard,ridge_refit,32,-0.15224098930082608,33.47122621592182,2617
0,Southern Seaboard,mlp_finetune,32,-0.6098268680198455,39.563030282658566,2617
0,Southern Seaboard,ccpa_no_climate,32,-0.6719208786765793,40.31882093535926,2617
0,Southern Seaboard,ccpa,32,-0.8254239629753304,42.12906652955934,2617
0,Southern Seaboard,ridge_support_only,64,-0.02329752594263268,31.54284956993383,2617
0,Southern Seaboard,ridge_refit,64,-0.15123812096894795,33.45665698074644,2617
0,Southern Seaboard,mlp_finetune,64,-0.5908491268399287,39.329140884418706,2617
0,Southern Seaboard,ccpa_no_climate,64,-0.7110897660911972,40.788370882565275,2617
0,Southern Seaboard,ccpa,64,-0.8347577165625992,42.23663632127332,2617
0,Northern Crescent,ridge,0,-0.1268611543902302,28.08185417414526,2490
0,Northern Crescent,mlp,0,-0.3455582821581142,30.68610965706348,2490
0,Northern Crescent,ridge_support_only,8,-0.2878107695418268,30.020408813523005,2490
0,Northern Crescent,ridge_refit,8,-0.12553994468274277,28.06538679490527,2490
0,Northern Crescent,mlp_finetune,8,-0.408048332383031,31.39058122084987,2490
0,Northern Crescent,ccpa_no_climate,8,-0.1472590273362379,28.33487607947593,2490
0,Northern Crescent,ccpa,8,-0.1525268849001513,28.399854055842773,2490
0,Northern Crescent,ridge_support_only,16,-0.31865427801397983,30.377781207123718,2490
0,Northern Crescent,ridge_refit,16,-0.1219945708407355,28.02114990723126,2490
0,Northern Crescent,mlp_finetune,16,-0.5240322278831904,32.657854607841855,2490
0,Northern Crescent,ccpa_no_climate,16,-0.1117926828978848,27.89346594383661,2490
0,Northern Crescent,ccpa,16,-0.3854821076625316,31.13802310722302,2490
0,Northern Crescent,ridge_support_only,32,-0.06439894673332369,27.292466999398048,2490
0,Northern Crescent,ridge_refit,32,-0.11920830304243668,27.98633558600034,2490
0,Northern Crescent,mlp_finetune,32,-0.1446782159739172,28.302987839625168,2490
0,Northern Crescent,ccpa_no_climate,32,-0.1118060934153692,27.89363416975251,2490
0,Northern Crescent,ccpa,32,-0.0944419973526471,27.67495674685993,2490
0,Northern Crescent,ridge_support_only,64,-0.008388495131816276,26.564675602155276,2490
0,Northern Crescent,ridge_refit,64,-0.11121579353228062,27.886228294204244,2490
0,Northern Crescent,mlp_finetune,64,-0.0879665360503718,27.592963375723656,2490
0,Northern Crescent,ccpa_no_climate,64,-0.1139900864936629,27.921017369317177,2490
0,Northern Crescent,ccpa,64,-0.077674684574637,27.46214249770899,2490
0,Heartland,ridge,0,-0.7306704472419769,38.84417010611744,1413
0,Heartland,mlp,0,-0.1402650440461932,31.529825256862583,1413
0,Heartland,ridge_support_only,8,0.05383670218377712,28.721142199090078,1413
0,Heartland,ridge_refit,8,-0.7277846213826913,38.81177102074652,1413
0,Heartland,mlp_finetune,8,0.0331660112800461,29.033180435789635,1413
0,Heartland,ccpa_no_climate,8,-0.3397278288421936,34.1764498706894,1413
0,Heartland,ccpa,8,-0.3638125706638029,34.48228229859227,1413
0,Heartland,ridge_support_only,16,0.10759940948633873,27.89321554937044,1413
0,Heartland,ridge_refit,16,-0.726584664735588,38.798291177522955,1413
0,Heartland,mlp_finetune,16,0.0338161115220695,29.023417823117597,1413
0,Heartland,ccpa_no_climate,16,-0.4134185392168865,35.1037934211311,1413
0,Heartland,ccpa,16,-0.3635669829694679,34.479177471118845,1413
0,Heartland,ridge_support_only,32,0.13799348307874326,27.41409623625249,1413
0,Heartland,ridge_refit,32,-0.7196762219386348,38.72059315440255,1413
0,Heartland,mlp_finetune,32,0.1451059854603054,27.30076374132383,1413
0,Heartland,ccpa_no_climate,32,-0.2865325356962602,33.491071723443554,1413
0,Heartland,ccpa,32,-0.122740714860835,31.28660178185391,1413
0,Heartland,ridge_support_only,64,0.23200092209593193,25.87611113548275,1413
0,Heartland,ridge_refit,64,-0.7142708134685052,38.65969059882888,1413
0,Heartland,mlp_finetune,64,0.134034665781941,27.476974577001307,1413
0,Heartland,ccpa_no_climate,64,-0.3384323022566431,34.159921435750306,1413
0,Heartland,ccpa,64,-0.2336661085933979,32.795743070166644,1413
0,Northern Great Plains,ridge,0,-0.3126739906790827,51.014292877113554,1362
0,Northern Great Plains,mlp,0,-0.326892549264985,51.289835807632855,1362
0,Northern Great Plains,ridge_support_only,8,-0.7249623928647391,58.479445583187335,1362
0,Northern Great Plains,ridge_refit,8,-0.3055176323303601,50.87504448033253,1362
0,Northern Great Plains,mlp_finetune,8,0.1705133153404253,40.55254739106657,1362
0,Northern Great Plains,ccpa_no_climate,8,-0.1536238945870232,47.823961984568406,1362
0,Northern Great Plains,ccpa,8,-0.0807658519663143,46.28915342878246,1362
0,Northern Great Plains,ridge_support_only,16,-0.08194142334447418,46.31432142165793,1362
0,Northern Great Plains,ridge_refit,16,-0.3027593021219348,50.82127103053451,1362
0,Northern Great Plains,mlp_finetune,16,0.1636720101659919,40.71943533754084,1362
0,Northern Great Plains,ccpa_no_climate,16,-0.3161918684438949,51.08260457223803,1362
0,Northern Great Plains,ccpa,16,-0.1389915309277358,47.519698716492194,1362
0,Northern Great Plains,ridge_support_only,32,0.05422270063153267,43.30199185211604,1362
0,Northern Great Plains,ridge_refit,32,-0.28918128763528617,50.55573487127026,1362
0,Northern Great Plains,mlp_finetune,32,0.1714782357265296,40.52895366330893,1362
0,Northern Great Plains,ccpa_no_climate,32,-0.3441066145852371,51.62146080431702,1362
0,Northern Great Plains,ccpa,32,-0.1848455810472682,48.46679565512152,1362
0,Northern Great Plains,ridge_support_only,64,-0.0002845784772940174,44.53230939029803,1362
0,Northern Great Plains,ridge_refit,64,-0.2584516062089959,49.94956273956644,1362
0,Northern Great Plains,mlp_finetune,64,0.1932865440026299,39.991996116384385,1362
0,Northern Great Plains,ccpa_no_climate,64,-0.2372357924465415,49.52673160567177,1362
0,Northern Great Plains,ccpa,64,-0.0994632794807357,46.68784147549152,1362
0,Prairie Gateway,ridge,0,-0.5614383970579782,55.34542941693165,390
0,Prairie Gateway,mlp,0,-0.8431946541352697,60.13190118133864,390
0,Prairie Gateway,ridge_support_only,8,0.22627594570618526,38.959411086972224,390
0,Prairie Gateway,ridge_refit,8,-0.550390554749113,55.14928559716894,390
0,Prairie Gateway,mlp_finetune,8,-0.036455526485335,45.09149866586636,390
0,Prairie Gateway,ccpa_no_climate,8,-0.0211558159115445,44.75745066242164,390
0,Prairie Gateway,ccpa,8,-0.2073858145769065,48.66787327675454,390
0,Prairie Gateway,ridge_support_only,16,0.29751457231607614,37.12256649629312,390
0,Prairie Gateway,ridge_refit,16,-0.54348420804695,55.026314904844234,390
0,Prairie Gateway,mlp_finetune,16,-0.1872086685944261,48.25950505594291,390
0,Prairie Gateway,ccpa_no_climate,16,-0.0353551637591724,45.06755640340785,390
0,Prairie Gateway,ccpa,16,-0.4098534760957726,52.590381797714706,390
0,Prairie Gateway,ridge_support_only,32,0.2896693098824533,37.329280865049746,390
0,Prairie Gateway,ridge_refit,32,-0.5168804269423792,54.550031754993164,390
0,Prairie Gateway,mlp_finetune,32,-0.1463464922767841,47.42171839458866,390
0,Prairie Gateway,ccpa_no_climate,32,-0.1050756152288612,46.56025304170212,390
0,Prairie Gateway,ccpa,32,-0.2435270271623717,49.39090096273208,390
0,Prairie Gateway,ridge_support_only,64,0.28460160806430923,37.46220308046518,390
0,Prairie Gateway,ridge_refit,64,-0.48270350279629404,53.931995646223044,390
0,Prairie Gateway,mlp_finetune,64,-0.1724153788825795,47.95789221612546,390
0,Prairie Gateway,ccpa_no_climate,64,-0.086176741578003,46.16040212330185,390
0,Prairie Gateway,ccpa,64,-0.237801482349319,49.27706504564251,390
0,Basin and Range,ridge,0,-10.526833472103998,80.2257344524279,35
0,Basin and Range,mlp,0,-11.372896495936082,83.11786555875882,35
0,Basin and Range,ridge_support_only,8,-8.27479982090606,71.96328247342379,35
0,Basin and Range,ridge_refit,8,-9.811879068464913,77.6979001720342,35
0,Basin and Range,mlp_finetune,8,-2.125057403007589,41.7722329990897,35
0,Basin and Range,ccpa_no_climate,8,-1.2324190383674771,35.30584018322892,35
0,Basin and Range,ccpa,8,-0.7016242419094512,30.82410846474376,35
0,Basin and Range,ridge_support_only,16,0.13248228606885581,22.008876220614724,35
0,Basin and Range,ridge_refit,16,-9.274988973264858,75.74419850759669,35
0,Basin and Range,mlp_finetune,16,-1.7859755159532695,39.440947529428115,35
0,Basin and Range,ccpa_no_climate,16,-1.1391500287675744,34.560444106130646,35
0,Basin and Range,ccpa,16,-1.1227188803989103,34.42745613056224,35
0,Basin and Range,ridge_support_only,32,0.3492750466551453,19.06151532804474,35
0,Basin and Range,ridge_refit,32,-8.04795076059151,71.07777207428231,35
0,Basin and Range,mlp_finetune,32,-1.7519037152386598,39.19902902110508,35
0,Basin and Range,ccpa_no_climate,32,-1.2833977576571902,35.70668048134092,35
0,Basin and Range,ccpa,32,-1.027406127967024,33.64566137015533,35
0,Basin and Range,ridge_support_only,64,-0.08199505637552029,24.579403009992127,35
0,Basin and Range,ridge_refit,64,-6.691781596663753,65.53482805561744,35
0,Basin and Range,mlp_finetune,64,-1.8194747071582416,39.67736235340278,35
0,Basin and Range,ccpa_no_climate,64,-1.5753416676716667,37.92068025279917,35
0,Basin and Range,ccpa,64,-1.426877661204911,36.811425389083126,35
1,Southern Seaboard,ridge,0,-0.1547946474889709,33.403416460893,2617
1,Southern Seaboard,mlp,0,-1.1100005252799812,45.152290764236426,2617
1,Southern Seaboard,ridge_support_only,8,-0.22475917318680638,34.40042891578863,2617
1,Southern Seaboard,ridge_refit,8,-0.15388152864899252,33.3902074800436,2617
1,Southern Seaboard,mlp_finetune,8,-0.5978900887842742,39.29270779444391,2617
1,Southern Seaboard,ccpa_no_climate,8,-0.7482741388206122,41.10013740032936,2617
1,Southern Seaboard,ccpa,8,-0.8094854671203771,41.81345523824478,2617
1,Southern Seaboard,ridge_support_only,16,-0.0693605397416821,32.14404920420966,2617
