held_out_region,method,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Southern Seaboard,ridge,-0.15282086164661085,0.0012818099947546166,33.440213474818684,0.033673486795608165,2649
Southern Seaboard,mlp,-0.9777066096406527,0.15670907989989236,43.77127683180145,1.706412790137706,2649
Southern Seaboard,ridge_support_only,-0.06366683301967084,0.042829956599161306,32.11603366282154,0.657257898226965,2649
Southern Seaboard,ridge_refit,-0.15169530256815156,0.0006561584538475628,33.423897082033434,0.040637675551751004,2649
Southern Seaboard,mlp_finetune,-0.6190183063081416,0.10972274030991029,39.61007703050757,1.3420406542361112,2649
Southern Seaboard,ccpa_no_climate,-0.7252214766231825,0.09750228104402223,40.89444292037014,1.1298166815869906,2649
Southern Seaboard,ccpa,-0.7721337131339263,0.10164309221903951,41.446356339572255,1.1478399864842947,2649
Northern Crescent,ridge,-0.13141753687726826,0.0017012003056839442,28.14600428770864,0.05120271556945676,2522
Northern Crescent,mlp,-0.27544153975474794,0.1073656568270302,29.86221820724061,1.2612793868888263,2522
Northern Crescent,ridge_support_only,-0.05664310908968686,0.07008697969542109,27.18742219165332,0.8902022806423523,2522
Northern Crescent,ridge_refit,-0.12681696895472894,0.005137054604275969,28.088670260058905,0.0790687593418466,2522
Northern Crescent,mlp_finetune,-0.1126591293020029,0.03523402145184863,27.90920892624076,0.4692842979367585,2522
Northern Crescent,ccpa_no_climate,-0.29667667430485156,0.08255819500056813,30.119080732935714,0.9455653863668817,2522
Northern Crescent,ccpa,-0.1681514440539167,0.1190231240398844,28.571505768929438,1.436694321943951,2522
Heartland,ridge,-0.6924901376437891,0.009482100691208509,38.85361725336979,0.0915276669717675,1445
Heartland,mlp,-0.0004490622810136395,0.08498035635476846,29.84881438009374,1.215572797797854,1445
Heartland,ridge_support_only,0.0949016044449765,0.08655882534681343,28.389430525055808,1.432533214452787,1445
Heartland,ridge_refit,-0.6828600689696426,0.010986106348194632,38.74287631078733,0.11048534653201157,1445
Heartland,mlp_finetune,0.1788241955996021,0.0434234692228522,27.05624103429172,0.7096923857997337,1445
Heartland,ccpa_no_climate,-0.26689538503044485,0.09440163588714862,33.59540516385449,1.1968389016513976,1445
Heartland,ccpa,-0.06490558760157969,0.14987020276026863,30.752994957924876,2.231509778556212,1445
Northern Great Plains,ridge,-0.3266762377457656,0.005842973093989333,51.41727989344516,0.09801396276034535,1394
Northern Great Plains,mlp,-0.7411862146222157,0.2707431755632356,58.75486101492437,4.655262608502362,1394
Northern Great Plains,ridge_support_only,0.0011353938864013813,0.04368159351231517,44.60666377517091,0.9914072144690806,1394
Northern Great Plains,ridge_refit,-0.30728656099059964,0.012325106713109853,51.03976323560799,0.2218744135164584,1394
Northern Great Plains,mlp_finetune,0.042371561646385836,0.14866881323192602,43.580373316744314,3.2945501471532266,1394
Northern Great Plains,ccpa_no_climate,-0.2801913559150496,0.11277797315679117,50.46871744483374,2.249553048874472,1394
Northern Great Plains,ccpa,-0.19503767072106076,0.12213493277834367,48.74778782816208,2.4320785232843285,1394
Prairie Gateway,ridge,-0.6215381392866075,0.030797591569104835,55.67511763876364,0.30186851094523104,422
Prairie Gateway,mlp,-0.7102030197635865,0.25645674647912414,57.07431083083429,4.77300332162762,422
Prairie Gateway,ridge_support_only,0.2493129848530164,0.10141384806355885,37.80417039913564,2.3360919238320124,422
Prairie Gateway,ridge_refit,-0.5923489521687983,0.03932149452999508,55.169189449656926,0.3537186503408171,422
Prairie Gateway,mlp_finetune,-0.018012010385896525,0.09266456876881753,44.0969505224585,2.3778292575527273,422
Prairie Gateway,ccpa_no_climate,-0.2861054775035826,0.26525827547539793,49.35814324199914,4.697861756457654,422
Prairie Gateway,ccpa,-0.3941798437480465,0.052827104652650766,51.619642526918746,0.9376325960904779,422
Basin and Range,ridge,-8.407409901132699,1.6120670246509272,82.83616876771877,1.2321911128623984,67
Basin and Range,mlp,-8.773331026167506,2.8649871822977273,83.85824437895647,8.443653355650468,67
Basin and Range,ridge_support_only,0.0317495571161444,0.06249715789144589,26.82879427508866,2.921509002127144,67
Basin and Range,ridge_refit,-6.585595714061391,1.3195979423498019,74.37431828002778,1.531453965518292,67
Basin and Range,mlp_finetune,-1.1115994169467354,0.6304575471037797,39.138142412567156,6.399922226701902,67
Basin and Range,ccpa_no_climate,-1.503370336621923,0.9693775151093249,42.36098346609943,8.662676683743879,67
Basin and Range,ccpa,-0.8839960280997555,0.2810313112481133,37.14656446879735,2.067069412095539,67
MACRO,ridge,-1.72205880238879,0.27025120788633517,48.39473355263745,0.2570357437009357,8499
MACRO,mlp,-1.9130529120382866,0.49590708123170646,50.52828760730849,2.026224431104733,8499
MACRO,ridge_support_only,0.04279826636519683,0.019924304226001728,32.822085804820986,0.5295059348074654,8499
MACRO,ridge_refit,-1.407767261285552,0.2233299141135284,46.806452436362065,0.33471783307775677,8499
MACRO,mlp_finetune,-0.2733488509494647,0.11520896236241163,36.89849887380167,1.36341553053566,8499
MACRO,ccpa_no_climate,-0.559743450999839,0.17156858179782908,41.13279549501544,1.5177412880100745,8499
MACRO,ccpa,-0.41306738122638087,0.05756528326642172,39.714141981717454,0.9061528747830113,8499
