held_out_region,method,support_size,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Southern Seaboard,ridge,0,-0.1252206924971451,0.0015617934917927705,33.02281902776375,0.04945438472776738,2617
Southern Seaboard,mlp,0,-0.35831994659666333,0.0768659881914219,36.270832517173595,1.0141625660605902,2617
Southern Seaboard,ridge_support_only,8,-0.3066914900229366,0.3067339863694495,35.40376625316806,3.9602839013097517,2617
Southern Seaboard,ridge_support_only,16,-0.24573071517206654,0.2833242717381441,34.577055849905,3.7597593381660497,2617
Southern Seaboard,ridge_support_only,32,-0.09828290423583667,0.1275250383895524,32.581774417185194,1.801720095269593,2617
Southern Seaboard,ridge_support_only,64,-0.07086954865813166,0.30229514228891635,31.987759407859368,4.213510705736077,2617
Southern Seaboard,ridge_refit,8,-0.1253986004694169,0.0019859798560034965,33.02541474172011,0.04328704217062635,2617
Southern Seaboard,ridge_refit,16,-0.12479849456990091,0.0028558372002594223,33.01658569561564,0.04258144281915622,2617
Southern Seaboard,ridge_refit,32,-0.12013741733932566,0.0038180214321602616,32.94807219697314,0.043014576444003694,2617
Southern Seaboard,ridge_refit,64,-0.11115245335183115,0.003628715306528191,32.81565949999275,0.032650421181842616,2617
Southern Seaboard,mlp_finetune,8,-0.5467027774067162,0.31569171689161524,38.56158435919557,3.7848770760527426,2617
Southern Seaboard,mlp_finetune,16,-0.4357640407049626,0.2027758038860236,37.226268181870616,2.5546455696956962,2617
Southern Seaboard,mlp_finetune,32,-0.33343290732992914,0.08440548139277695,35.93301853780089,1.0740561883659239,2617
Southern Seaboard,mlp_finetune,64,-0.24780330264060407,0.0741583571513542,34.76256198103883,1.00521198097562,2617
Southern Seaboard,ccpa_no_climate,8,-0.48363719051075166,0.14822002228538766,37.881394336408945,1.8818190292356431,2617
Southern Seaboard,ccpa_no_climate,16,-0.4739904310754667,0.12027818072922117,37.77025270377162,1.5339615344810817,2617
Southern Seaboard,ccpa_no_climate,32,-0.4579724850963315,0.12233719047850382,37.563500156088445,1.5550500768251325,2617
Southern Seaboard,ccpa_no_climate,64,-0.45349946362083654,0.10629776723963125,37.51269233731496,1.3716044880144795,2617
Southern Seaboard,ccpa,8,-0.5001999596524134,0.214235313232054,38.053511963681046,2.6528074700867195,2617
Southern Seaboard,ccpa,16,-0.4200486886252288,0.08233771172648396,37.08462100327336,1.0477408963665031,2617
Southern Seaboard,ccpa,32,-0.37797147145913573,0.06931314111690899,36.5340127074834,0.9026210651665486,2617
Southern Seaboard,ccpa,64,-0.31995810500144384,0.08780035728036457,35.750472189128104,1.207244380005888,2617
Northern Crescent,ridge,0,0.20962351915307975,0.0020516939637304768,23.52949053804275,0.0548928727842559,2490
Northern Crescent,mlp,0,0.18215917481603233,0.053397591048895715,23.924213947967193,0.7517919276101667,2490
Northern Crescent,ridge_support_only,8,-0.22097154440279282,0.23430554275166882,29.131263565290443,2.9316351358471384,2490
Northern Crescent,ridge_support_only,16,-0.48193311969631336,0.9452747039452867,31.21272576445299,8.943844432658299,2490
Northern Crescent,ridge_support_only,32,0.08775232257069558,0.10485287899652405,25.246189424503754,1.4961727759061931,2490
Northern Crescent,ridge_support_only,64,0.30956677237943314,0.08716426227100499,21.958623897391792,1.3768109871487269,2490
Northern Crescent,ridge_refit,8,0.2155437969161107,0.004013369407310601,23.441168214633713,0.0799323268309138,2490
Northern Crescent,ridge_refit,16,0.21887564344169047,0.006884516092054728,23.39126908383251,0.12919158931404603,2490
Northern Crescent,ridge_refit,32,0.22324646578984986,0.007996585654909311,23.32572663810403,0.15421067985556325,2490
Northern Crescent,ridge_refit,64,0.2325652322649283,0.006200913193311555,23.185450645206878,0.12840634996688205,2490
Northern Crescent,mlp_finetune,8,0.1703583325538359,0.1006718983093946,24.07238175973227,1.464739356066691,2490
Northern Crescent,mlp_finetune,16,0.14428198954473562,0.12661300694363425,24.430382904810664,1.7936293799216436,2490
Northern Crescent,mlp_finetune,32,0.1539213376686116,0.07216685718888621,24.324829857517525,1.0049368738887665,2490
Northern Crescent,mlp_finetune,64,0.19845171368584236,0.08903744765617305,23.66625332784169,1.3039591158704733,2490
Northern Crescent,ccpa_no_climate,8,0.27344091326903713,0.0625068559737838,22.543678629136714,0.9905662559854038,2490
Northern Crescent,ccpa_no_climate,16,0.2398526788075308,0.09083629168035798,23.043611348512506,1.4203160342365293,2490
Northern Crescent,ccpa_no_climate,32,0.20644534139007079,0.1148422384158667,23.529546198537325,1.7267772052402894,2490
Northern Crescent,ccpa_no_climate,64,0.21336562046382707,0.1122852429130693,23.4270333615822,1.7123476500225876,2490
Northern Crescent,ccpa,8,0.2615416046994074,0.09215352182045679,22.709427404084472,1.3873355528249003,2490
Northern Crescent,ccpa,16,0.245199089490188,0.14895426427962105,22.91304893179008,2.151506462006304,2490
Northern Crescent,ccpa,32,0.2947042077238996,0.08097038644439522,22.198081047940416,1.2209157316018124,2490
Northern Crescent,ccpa,64,0.3040043866988456,0.06650799813066233,22.06066725991183,1.02198624467403,2490
Heartland,ridge,0,-0.04983259948503292,0.01628983181267226,30.555542127641125,0.09240087053919213,1413
Heartland,mlp,0,0.3717365634580661,0.0345709210945319,23.630144020607325,0.5893277827357896,1413
Heartland,ridge_support_only,8,-0.027691975810540302,0.265547135806183,30.04980093449375,3.925132495221892,1413
Heartland,ridge_support_only,16,0.10337848837143829,0.12092415227495079,28.193247750062262,2.014162026291955,1413
Heartland,ridge_support_only,32,-0.1099365052081465,0.841913921369987,30.0440159881749,10.26470695245765,1413
Heartland,ridge_support_only,64,0.38892216852431005,0.06597457853102469,23.289805425492,1.3663871987258969,1413
Heartland,ridge_refit,8,-0.047868073067975914,0.016804465361670278,30.5268924847981,0.11241786544814009,1413
Heartland,ridge_refit,16,-0.04498270293467761,0.017965382052599163,30.484652129234483,0.12797828148645454,1413
Heartland,ridge_refit,32,-0.0395414987825685,0.017748426246301626,30.405247778229473,0.14047918210712007,1413
Heartland,ridge_refit,64,-0.029858208160958587,0.020166501161238543,30.26287690153718,0.17078071706676443,1413
Heartland,mlp_finetune,8,0.40704560298140446,0.03991631800587243,22.95263044813401,0.7226209910206611,1413
Heartland,mlp_finetune,16,0.4078232644148211,0.03485569994209175,22.940581757662386,0.6403629345992717,1413
Heartland,mlp_finetune,32,0.40504644900848924,0.033835824119562326,22.99503447812009,0.6199860633016149,1413
Heartland,mlp_finetune,64,0.4052628114239645,0.030110331763679634,22.992085671079728,0.5219279663251195,1413
Heartland,ccpa_no_climate,8,0.07000138894426133,0.1252414780754253,28.700890681437215,1.8416348936602993,1413
Heartland,ccpa_no_climate,16,0.04385056314682864,0.10113859098803968,29.125376200920194,1.451605313783611,1413
Heartland,ccpa_no_climate,32,0.08021741672800883,0.061887111409911495,28.585988503697404,0.8396758551463207,1413
Heartland,ccpa_no_climate,64,0.09046372747319056,0.08604236273570347,28.41365614945109,1.253562559571055,1413
Heartland,ccpa,8,0.34845791548524074,0.037029257482242645,24.06341721972879,0.6383446824840607,1413
Heartland,ccpa,16,0.3474760357582928,0.05236516955870506,24.07800564814582,1.0311579304161123,1413
Heartland,ccpa,32,0.36617887141911654,0.04840041003009168,23.728981616118638,0.878212349545706,1413
Heartland,ccpa,64,0.3733286625690587,0.026183216338837436,23.60325844590806,0.42186024011435796,1413
Northern Great Plains,ridge,0,-0.5206957385128582,0.012359145556551647,55.04094562228677,0.3235876930972434,1362
Northern Great Plains,mlp,0,-0.42786183135798517,0.14752010229230816,53.2799299905555,2.7770388164392177,1362
Northern Great Plains,ridge_support_only,8,-0.2480743029860827,0.24441932934459995,49.67755326787962,4.971263167393185,1362
Northern Great Plains,ridge_support_only,16,-0.23799961310904236,0.2192050990085086,49.513821917467524,4.450443138037269,1362
Northern Great Plains,ridge_support_only,32,-0.30750248739925035,0.4278006056152511,50.51020284655245,8.012588212773688,1362
Northern Great Plains,ridge_support_only,64,0.028702663688689855,0.13428657404897,43.907547035495455,2.9826955306742633,1362
Northern Great Plains,ridge_refit,8,-0.4998395686620244,0.02221039102121086,54.661650021121716,0.5061308578681742,1362
Northern Great Plains,ridge_refit,16,-0.4872981170420939,0.029259664407312695,54.43177397190004,0.6179024079765706,1362
Northern Great Plains,ridge_refit,32,-0.45661284957176546,0.032434163920114896,53.86687634051007,0.6842782084136505,1362
Northern Great Plains,ridge_refit,64,-0.40011153241248126,0.04126326446210906,52.810168461588866,0.8669297299662112,1362
Northern Great Plains,mlp_finetune,8,-0.0031854454019916156,0.19671220501559283,44.533413526151875,4.516290767259828,1362
Northern Great Plains,mlp_finetune,16,0.05866715247137142,0.15846789725227578,43.19339779548157,3.5422769011333917,1362
Northern Great Plains,mlp_finetune,32,0.15207157338134408,0.09414240255921248,41.05315251344477,2.2989901017278163,1362
Northern Great Plains,mlp_finetune,64,0.1544163469394423,0.09930305332849156,40.992249153996795,2.380504726899446,1362
Northern Great Plains,ccpa_no_climate,8,-0.2176675457574493,0.2051260661255155,49.120133190869,4.203371218305789,1362
Northern Great Plains,ccpa_no_climate,16,-0.24343790600771156,0.17231591106202523,49.68431917841492,3.438449277419612,1362
