partition,held_out_region,r2,n_region,n_train,energy_dist,mmd_rbf,mmd_sigma,wass_yield,inregion_r2,coef_cos_pool,yield_mean_region,yield_mean_train
clim,Clim-0,0.4141601422180964,2958,5733,0.7161197513307656,0.2772852014871203,5.867739348211748,8.2702850547823,0.5335174126121105,0.7196133178890216,162.30108181203516,155.72918192918192
clim,Clim-1,0.5457134647754392,2407,6284,2.495004443880799,0.4563536627145971,6.638721778441796,20.28540299391997,0.6059193512225876,0.7684791611169307,172.608599916909,152.3572724379376
clim,Clim-2,0.21722179187871574,1086,7605,2.792514903195949,0.4671026624548551,7.089268601143809,5.880723934893081,0.2788947533809109,0.2428141660387056,153.97550644567218,158.53577909270217
clim,Clim-3,0.4952802166677487,619,8072,3.390983499557527,0.4819025551118554,7.550674601806925,12.313352425104592,0.5999050792635645,0.7265250968624932,149.01793214862684,158.65211843409315
clim,Clim-4,0.277931069680784,551,8140,2.757804190642288,0.4560651166987626,7.27887584856448,23.509677044640743,0.4215446582153209,0.6778513326365879,136.00344827586207,159.45259213759215
clim,Clim-5,0.3682361334147629,379,8312,4.3688458560547865,0.5446032202523154,7.538213005217189,15.469701686978295,0.4758082597669645,0.3874497513987601,143.47229551451187,158.62680461982674
clim,Clim-6,-0.15527948355650167,371,8320,12.871019241140644,0.8194684127759987,8.142756630802918,16.759714421781048,0.3206576747531549,-0.256762354419026,158.1463611859838,157.9578966346154
clim,Clim-7,-0.6244996488969345,320,8371,5.177794417924201,0.604609533678019,7.491834016863452,67.05812298411182,0.1540257606973611,0.1432429910788073,93.3775,160.4349778998925
ers,Eastern Uplands,0.1656842256327372,930,7752,0.5452688495057192,0.2129238531207365,6.7112470568095475,11.343849162755085,0.3021703519707376,0.6800755616339565,151.46225806451616,158.68059855521156
ers,Fruitful Rim,0.3249224250392623,236,8446,4.592960436192158,0.5627399252086172,7.656859388994603,22.81976003082394,0.7871195066756379,-0.0138918516819093,148.21864406779665,158.17810798010896
ers,Heartland,0.1382271703782289,2773,5909,0.6734041778865798,0.261794619960683,6.016564559095341,36.92208206848221,0.4401243401980337,0.784530019738286,183.03076090876309,146.1173802673887
ers,Mississippi Portal,-0.27090321168040543,591,8091,2.337288671797012,0.4267394792635435,7.173143913351113,16.873011185581277,0.4205000923946512,0.3646764068142857,169.55414551607444,157.05665554319617
ers,Northern Crescent,0.0003101208458933413,1418,7264,2.713747894346647,0.4441354593574276,7.26265033300143,13.26580817820595,0.4834013721073488,0.7971173568812061,155.55811001410436,158.3659829295154
ers,Northern Great Plains,-0.16072223055239437,530,8152,3.006456476849623,0.4626659930840943,7.555710204057144,30.346349500990613,0.5459476341769338,0.4465343070366703,129.41811320754718,159.75960500490677
ers,Prairie Gateway,0.1941559424339365,1024,7658,3.821051574495753,0.4875560800838072,7.9518612099777,32.50223770281079,0.4406796511465504,-0.1868381674750298,129.2556640625,161.7385870984591
ers,Southern Seaboard,0.010367141052226641,1180,7502,1.792020906247731,0.3677334738385595,7.252669122325171,20.794516897189,0.2607396533626919,0.3919989487831293,140.53457627118644,160.63997600639829
state,Basin and Range,-1.3629600263702626,99,8592,16.221832317578453,0.9240653219785144,7.375694862884971,46.43676111675413,0.087625063565084,-0.0386813721690965,203.87373737373736,157.43697625698323
state,Heartland,0.40665236232062585,1477,7214,0.4792334427886509,0.2165385357335081,6.3023562734408465,29.597010570922148,0.5879391375193684,0.8328303160960996,182.52728503723768,152.93723315774884
state,Northern Crescent,0.1519273012227286,2554,6137,2.2849870850387957,0.4161063761368813,7.028007524612731,13.46752911113751,0.5707624869890789,0.8503170509563212,165.2587314017228,154.9309434577155
state,Northern Great Plains,0.15214686393534463,1426,7265,2.176201731444033,0.3900469084536933,7.707236507739894,19.52521647430619,0.444307725057386,0.6864914517114898,141.65631136044885,161.16725395732968
state,Prairie Gateway,0.1579425003779019,454,8237,5.152643209869058,0.5734165769541617,7.882777252119645,52.09916945618219,0.495080778332343,-0.0140027194935812,108.58832599118942,160.68749544737165
state,Southern Seaboard,-0.3373941114409852,2681,6010,2.2434687846949544,0.4188187230191504,7.0194475499142985,10.671281551759128,0.3304931779837658,0.3473944225913964,152.82875792614698,160.2575873544093
