,Southern Seaboard,Northern Crescent,Heartland,Northern Great Plains,Prairie Gateway,Basin and Range
Southern Seaboard,0.9999999999999998,0.33083179935385765,0.6533145930200475,0.33100552684318657,-0.04856735073853476,-0.14322594196053923
Northern Crescent,0.33083179935385765,1.0000000000000002,0.7825057604884976,0.4316002511914574,0.0069501260578197326,-0.08142183401716396
Heartland,0.6533145930200475,0.7825057604884976,0.9999999999999999,0.33665132409784443,0.04691244273287251,-0.04319736562543435
Northern Great Plains,0.33100552684318657,0.4316002511914574,0.33665132409784443,1.0000000000000002,0.018848246619466887,-0.07656608557602486
Prairie Gateway,-0.04856735073853476,0.0069501260578197326,0.04691244273287251,0.018848246619466887,1.0,-0.25227309689560107
Basin and Range,-0.14322594196053923,-0.08142183401716396,-0.04319736562543435,-0.07656608557602486,-0.25227309689560107,1.0000000000000002
