partition,held_out_region,r2,r2_std,energy_dist,mmd_rbf,wass_yield,inregion_r2,efficiency
clim,Clim-0,0.4141601422180964,0.02669914462494395,0.7161197513307656,0.2772852014871203,8.2702850547823,0.5335174126121105,0.7762823338611595
clim,Clim-1,0.5457134647754392,0.03857315106929209,2.495004443880799,0.4563536627145971,20.28540299391997,0.6059193512225876,0.9006371288098515
clim,Clim-2,0.21722179187871574,0.031444720045255496,2.792514903195949,0.4671026624548551,5.880723934893081,0.2788947533809109,0.778866541035417
clim,Clim-3,0.4952802166677487,0.06797208161047703,3.390983499557527,0.4819025551118554,12.313352425104592,0.5999050792635645,0.8255976383392988
clim,Clim-4,0.277931069680784,0.05594142589563133,2.757804190642288,0.4560651166987626,23.509677044640743,0.4215446582153209,0.6593158382256609
clim,Clim-5,0.3682361334147629,0.0965418794045141,4.3688458560547865,0.5446032202523154,15.469701686978295,0.4758082597669645,0.7739170681801805
clim,Clim-6,-0.15527948355650167,0.08934235636860406,12.871019241140644,0.8194684127759987,16.759714421781048,0.3206576747531549,-0.48425313280287835
clim,Clim-7,-0.6244996488969345,0.19140058923411238,5.177794417924201,0.604609533678019,67.05812298411182,0.1540257606973611,-4.054514297280364
ers,Eastern Uplands,0.1656842256327372,0.03843151217958962,0.5452688495057192,0.2129238531207365,11.343849162755085,0.3021703519707376,0.5483139710833781
ers,Fruitful Rim,0.3249224250392623,0.16987946494350126,4.592960436192158,0.5627399252086172,22.81976003082394,0.7871195066756379,0.41279935547723473
ers,Heartland,0.1382271703782289,0.08871268879057564,0.6734041778865798,0.261794619960683,36.92208206848221,0.4401243401980337,0.31406390820383545
ers,Mississippi Portal,-0.27090321168040543,0.13718136737684872,2.337288671797012,0.4267394792635435,16.873011185581277,0.4205000923946512,-0.6442405520951827
ers,Northern Crescent,0.0003101208458933413,0.05766644582598775,2.713747894346647,0.4441354593574276,13.26580817820595,0.4834013721073488,0.0006415390269609596
ers,Northern Great Plains,-0.16072223055239437,0.12180890749128445,3.006456476849623,0.4626659930840943,30.346349500990613,0.5459476341769338,-0.2943912941296978
ers,Prairie Gateway,0.1941559424339365,0.07510918548213256,3.821051574495753,0.4875560800838072,32.50223770281079,0.4406796511465504,0.4405829539185346
ers,Southern Seaboard,0.010367141052226641,0.09967948107498413,1.792020906247731,0.3677334738385595,20.794516897189,0.2607396533626919,0.039760507918624205
state,Basin and Range,-1.3629600263702626,0.7087536872725719,16.221832317578453,0.9240653219785144,46.43676111675413,0.087625063565084,-15.554454067333333
state,Heartland,0.40665236232062585,0.03269987221422798,0.4792334427886509,0.2165385357335081,29.597010570922148,0.5879391375193684,0.6916572420002054
state,Northern Crescent,0.1519273012227286,0.07152799367179095,2.2849870850387957,0.4161063761368813,13.46752911113751,0.5707624869890789,0.26618305282147176
state,Northern Great Plains,0.15214686393534463,0.0908900085795811,2.176201731444033,0.3900469084536933,19.52521647430619,0.444307725057386,0.34243578347797937
state,Prairie Gateway,0.1579425003779019,0.08959216175042073,5.152643209869058,0.5734165769541617,52.09916945618219,0.495080778332343,0.31902369732455377
state,Southern Seaboard,-0.3373941114409852,0.08581305310649028,2.2434687846949544,0.4188187230191504,10.671281551759128,0.3304931779837658,-1.020880713784532
