partition,held_out_region,n_region,n_train,energy_dist,mmd_rbf,mmd_sigma,wass_yield,inregion_r2,coef_cos_pool,yield_mean_region,yield_mean_train
state,Southern Seaboard,2681,6010,2.2434687846949544,0.41881872301915046,7.0194475499142985,10.671281551759128,0.3304931779837658,0.3473944225913964,152.82875792614698,160.2575873544093
state,Northern Crescent,2554,6137,2.2849870850387957,0.4161063761368813,7.028007524612731,13.46752911113751,0.5707624869890789,0.8503170509563212,165.2587314017228,154.9309434577155
state,Heartland,1477,7214,0.4792334427886509,0.21653853573350818,6.3023562734408465,29.597010570922148,0.5879391375193684,0.8328303160960996,182.52728503723768,152.93723315774884
state,Northern Great Plains,1426,7265,2.176201731444033,0.3900469084536933,7.707236507739894,19.52521647430619,0.444307725057386,0.6864914517114898,141.65631136044883,161.16725395732968
state,Prairie Gateway,454,8237,5.152643209869058,0.5734165769541617,7.882777252119645,52.09916945618219,0.49508077833234304,-0.014002719493581225,108.58832599118942,160.68749544737165
state,Basin and Range,99,8592,16.221832317578453,0.9240653219785143,7.375694862884971,46.43676111675413,0.08762506356508407,-0.03868137216909656,203.87373737373738,157.43697625698323
ers,Heartland,2773,5909,0.6734041778865798,0.26179461996068304,6.016564559095341,36.92208206848221,0.4401243401980337,0.784530019738286,183.03076090876309,146.1173802673887
ers,Northern Crescent,1418,7264,2.713747894346647,0.4441354593574276,7.26265033300143,13.26580817820595,0.48340137210734885,0.7971173568812061,155.55811001410436,158.3659829295154
ers,Southern Seaboard,1180,7502,1.792020906247731,0.3677334738385595,7.252669122325171,20.794516897189,0.26073965336269195,0.39199894878312935,140.53457627118644,160.63997600639829
ers,Prairie Gateway,1024,7658,3.821051574495753,0.48755608008380724,7.9518612099777,32.50223770281079,0.4406796511465504,-0.18683816747502982,129.2556640625,161.73858709845913
ers,Eastern Uplands,930,7752,0.5452688495057192,0.21292385312073658,6.7112470568095475,11.343849162755085,0.3021703519707376,0.6800755616339565,151.46225806451616,158.68059855521156
ers,Mississippi Portal,591,8091,2.337288671797012,0.4267394792635435,7.173143913351113,16.873011185581277,0.42050009239465125,0.3646764068142857,169.55414551607444,157.05665554319617
ers,Northern Great Plains,530,8152,3.006456476849623,0.46266599308409434,7.555710204057144,30.346349500990613,0.5459476341769338,0.44653430703667035,129.41811320754718,159.75960500490677
ers,Fruitful Rim,236,8446,4.592960436192158,0.5627399252086172,7.656859388994603,22.81976003082394,0.7871195066756379,-0.013891851681909387,148.21864406779665,158.17810798010896
clim,Clim-0,2958,5733,0.7161197513307656,0.2772852014871203,5.867739348211748,8.2702850547823,0.5335174126121105,0.7196133178890216,162.30108181203516,155.72918192918192
clim,Clim-1,2407,6284,2.4950044438807994,0.45635366271459715,6.638721778441796,20.28540299391997,0.6059193512225876,0.7684791611169307,172.60859991690901,152.3572724379376
clim,Clim-2,1086,7605,2.792514903195949,0.4671026624548551,7.089268601143809,5.880723934893081,0.2788947533809109,0.2428141660387056,153.97550644567218,158.53577909270217
clim,Clim-3,619,8072,3.390983499557527,0.4819025551118554,7.550674601806925,12.313352425104593,0.5999050792635645,0.7265250968624932,149.01793214862684,158.65211843409315
clim,Clim-4,551,8140,2.757804190642288,0.4560651166987626,7.27887584856448,23.509677044640743,0.42154465821532094,0.6778513326365879,136.00344827586207,159.45259213759215
clim,Clim-5,379,8312,4.3688458560547865,0.5446032202523154,7.538213005217189,15.469701686978297,0.4758082597669645,0.3874497513987601,143.47229551451187,158.62680461982674
clim,Clim-6,371,8320,12.871019241140644,0.8194684127759987,8.142756630802918,16.759714421781048,0.32065767475315493,-0.256762354419026,158.1463611859838,157.9578966346154
clim,Clim-7,320,8371,5.177794417924201,0.604609533678019,7.491834016863452,67.05812298411182,0.1540257606973611,0.14324299107880734,93.37750000000001,160.4349778998925
