,Heartland,Northern Crescent,Southern Seaboard,Prairie Gateway,Eastern Uplands,Mississippi Portal,Northern Great Plains,Fruitful Rim
Heartland,0.9999999999999999,0.7557043493087686,0.4033887448402182,-0.5174534053893752,0.6060619154912704,0.5658758594909975,0.43256162167659307,-0.14685413507417297
Northern Crescent,0.7557043493087686,1.0,0.16043737742670347,-0.1162352694867063,0.5202608002777558,0.2289313108783307,0.6247621422950296,-0.17132118191905565
Southern Seaboard,0.4033887448402182,0.16043737742670347,1.0,-0.08059706907514884,0.17703200631577004,0.4241717144125825,0.12782355303525164,0.014833408453887802
Prairie Gateway,-0.5174534053893752,-0.1162352694867063,-0.08059706907514884,0.9999999999999999,-0.36296940909635667,-0.40117719410262725,0.19201618593460418,0.09982301022654302
Eastern Uplands,0.6060619154912704,0.5202608002777558,0.17703200631577004,-0.36296940909635667,1.0000000000000002,0.6241472743457924,0.4653354944447451,-0.03738969696052893
Mississippi Portal,0.5658758594909975,0.2289313108783307,0.4241717144125825,-0.40117719410262725,0.6241472743457924,0.9999999999999999,0.32030990095716355,-0.010184214914421393
Northern Great Plains,0.43256162167659307,0.6247621422950296,0.12782355303525164,0.19201618593460418,0.4653354944447451,0.32030990095716355,0.9999999999999999,-0.02591146107286949
Fruitful Rim,-0.14685413507417297,-0.17132118191905565,0.014833408453887802,0.09982301022654302,-0.03738969696052893,-0.010184214914421393,-0.02591146107286949,1.0000000000000002
