held_out_region,method,r2_mean,r2_std,rmse_mean,rmse_std,n_query
Heartland,ridge,-1.798337056479215,0.0052721823311498005,41.16924701956188,0.04865261857690609,2741
Heartland,mlp,-0.9092101153197232,0.1033637232903574,33.995586997822485,0.8918682913202586,2741
Heartland,ridge_support_only,0.011994448925201207,0.06019540621323815,24.453193290062963,0.7283671221238056,2741
Heartland,ridge_refit,-1.7670192656639885,0.008770514664743493,40.93819875999945,0.07178192517612526,2741
Heartland,mlp_finetune,-0.2457024147264364,0.16747791586007918,27.42090515083611,1.7900284332966887,2741
Heartland,ccpa_no_climate,-0.9790963129866082,0.08007460649980293,34.617056025180354,0.7217630822775467,2741
Heartland,ccpa,-0.8093815243469166,0.107776962427921,33.094015058833925,1.034717713527944,2741
Northern Crescent,ridge,-0.6345922661025428,0.008844052631133307,31.43651923879143,0.09835677602665727,1386
Northern Crescent,mlp,-0.5690221135963334,0.2658157913932148,30.71261627530119,2.644134708321106,1386
Northern Crescent,ridge_support_only,-0.028805815014912972,0.03217164020288634,24.937935273318033,0.4159340010769731,1386
Northern Crescent,ridge_refit,-0.6143121642079238,0.01092389335512344,31.240884941332276,0.12899165020549447,1386
Northern Crescent,mlp_finetune,-0.09046608849503648,0.047855096012058146,25.672119043673955,0.5895027757853355,1386
Northern Crescent,ccpa_no_climate,-0.0774721949990635,0.05527871554883472,25.51684905014242,0.6755476095638223,1386
Northern Crescent,ccpa,-0.13863013203788338,0.11673305264223761,26.212322752976053,1.4020019679516962,1386
Southern Seaboard,ridge,-0.40173935328484306,0.007620109475453215,39.552762389780256,0.0495568632055869,1148
Southern Seaboard,mlp,-0.552440129747159,0.0902487553507744,41.61200852966981,1.2549371662393307,1148
Southern Seaboard,ridge_support_only,-0.036316039654649156,0.044406412781810504,34.00242412066125,0.7253707845520014,1148
Southern Seaboard,ridge_refit,-0.3928350874657965,0.009620891939825259,39.426820162913295,0.07064393936081152,1148
Southern Seaboard,mlp_finetune,-0.2544661860773353,0.08941469590186568,37.39828842055561,1.331812065446432,1148
Southern Seaboard,ccpa_no_climate,-0.4311549085548988,0.023915503570593095,39.96509123309621,0.3844687757238737,1148
Southern Seaboard,ccpa,-0.4319305811289338,0.1025594813882582,39.95533094977303,1.4183178542888295,1148
Prairie Gateway,ridge,-0.12600117730317434,0.0035795176268224728,50.37119994935006,0.030255946065161986,992
Prairie Gateway,mlp,-0.038017277189412814,0.08247002770611127,48.33364287681333,1.9653421194531446,992
Prairie Gateway,ridge_support_only,0.11039327078312704,0.1012368007726863,44.71400876653759,2.454219681716831,992
Prairie Gateway,ridge_refit,-0.11839878903118035,0.009210835603353453,50.20045691139607,0.14831974016523197,992
Prairie Gateway,mlp_finetune,0.07052210258765579,0.0678845441707976,45.74009984379446,1.6934542840754399,992
Prairie Gateway,ccpa_no_climate,0.05458412832631485,0.05108946380406499,46.14086555215785,1.1972091686966018,992
Prairie Gateway,ccpa,0.06895149577406205,0.05294828814686757,45.78812841202212,1.2867440970306838,992
Eastern Uplands,ridge,-0.1450629746458521,0.0036687016876605747,29.9699192431923,0.16914319057773664,898
Eastern Uplands,mlp,-0.27059691378119505,0.03582809952417059,31.567053036017796,0.4351385892761278,898
Eastern Uplands,ridge_support_only,-0.025346694466431362,0.05008716122993874,28.353275778198373,0.7098242689978081,898
Eastern Uplands,ridge_refit,-0.14278033479840496,0.004207449220201869,29.94005369625619,0.17783759551550493,898
Eastern Uplands,mlp_finetune,-0.1850832786691857,0.043620792725317,30.485705764702733,0.6287472704200086,898
Eastern Uplands,ccpa_no_climate,-0.0982834178800617,0.03703940580526403,29.348695854791224,0.5712762290091372,898
Eastern Uplands,ccpa,-0.11961241147747037,0.053231889725331764,29.629713709551957,0.7838803087325713,898
Mississippi Portal,ridge,-1.6367914500004523,0.029600903427015386,35.455976197187724,0.1054543030578779,559
Mississippi Portal,mlp,-2.559687653527828,0.4498330317641077,41.12891407854842,2.6647079091933605,559
Mississippi Portal,ridge_support_only,0.015674038117783295,0.042176476062521555,21.660417903593782,0.5070556058850593,559
Mississippi Portal,ridge_refit,-1.595424742240073,0.034747896464603585,35.17650885312155,0.1503900746427759,559
Mississippi Portal,mlp_finetune,-0.6310034488385853,0.1695424820170746,27.858526579260946,1.4890188069765016,559
Mississippi Portal,ccpa_no_climate,-1.655257387843836,0.4278900555601172,35.497099972582355,2.85701682245548,559
Mississippi Portal,ccpa,-0.9491886866462071,0.4017739232850499,30.353887175576297,3.2070747832007647,559
Northern Great Plains,ridge,-0.934460300708596,0.028086660754700645,56.71590286677291,0.29041921866123005,498
Northern Great Plains,mlp,-0.19406544126492548,0.1734521346221282,44.46340390610197,3.2626564108455507,498
Northern Great Plains,ridge_support_only,-0.06143456671112781,0.1965118514155216,41.88035970851307,3.8828256290476064,498
Northern Great Plains,ridge_refit,-0.889067212271549,0.036241538124129336,56.0452776097095,0.40018256218394055,498
Northern Great Plains,mlp_finetune,0.11865073575736015,0.03813860199023526,38.27658010301481,0.8249476562143302,498
Northern Great Plains,ccpa_no_climate,-0.5516860500735987,0.23026913954299308,50.66701167317237,3.8185201929841965,498
Northern Great Plains,ccpa,-0.0861094343026253,0.07908004585420396,42.47229033868491,1.4881362894884231,498
Fruitful Rim,ridge,-0.5073650661191218,0.02218335482071785,66.23452301809519,0.6210051267861002,204
